x
CHOYP_1433E.1.2.m.3638
CHOYP_1433G.2.2.m.63451
CHOYP_2A5D.2.3.m.32240
CHOYP_2A5D.3.3.m.37716
CHOYP_2AAA.1.1.m.13306
CHOYP_2AAA.1.1.m.13307
CHOYP_A1CF.1.2.m.8145
CHOYP_A2M.2.3.m.54214
CHOYP_AACS.1.1.m.66267
CHOYP_AADAT.1.1.m.12672
CHOYP_AAEL_AAEL001503.1.1.m.10649
CHOYP_AAEL_AAEL003539.1.1.m.16619
CHOYP_AAEL_AAEL003853.1.2.m.39529
CHOYP_AAEL_AAEL006854.1.1.m.13363
CHOYP_AAEL_AAEL006988.1.1.m.49733
CHOYP_AAEL_AAEL007787.1.1.m.13188
CHOYP_AAEL_AAEL008069.1.2.m.58164
CHOYP_AAEL_AAEL009169.1.1.m.24699
CHOYP_AAEL_AAEL009387.1.1.m.66163
CHOYP_AAEL_AAEL009414.1.1.m.639
CHOYP_AAEL_AAEL010339.1.1.m.63259
CHOYP_AAEL_AAEL010626.1.1.m.52019
CHOYP_AAEL_AAEL011273.1.1.m.12717
CHOYP_AAEL_AAEL011391.1.1.m.10090
CHOYP_AAEL_AAEL011979.1.1.m.59057
CHOYP_AAEL_AAEL012012.1.1.m.11873
CHOYP_AAEL_AAEL013229.2.2.m.57593
CHOYP_AAEL_AAEL014931.1.1.m.24932
CHOYP_AAK1.1.1.m.14768
CHOYP_AAK1.1.1.m.14769
CHOYP_AATM.1.1.m.32176
CHOYP_ABCA1.1.3.m.6501
CHOYP_ABCA1.3.3.m.56453
CHOYP_ABCA3.2.6.m.4295
CHOYP_ABCA3.5.6.m.54787
CHOYP_ABCA4.1.1.m.31461
CHOYP_ABCB6.3.3.m.53101
CHOYP_ABCE1.1.2.m.7437
CHOYP_ABCE1.2.2.m.42246
CHOYP_ABCF2.1.2.m.28360
CHOYP_ABL1.1.1.m.55647
CHOYP_ACAA2.1.1.m.30666
CHOYP_ACAC.1.2.m.16888
CHOYP_ACAD8.1.1.m.9135
CHOYP_ACADL.1.1.m.5508
CHOYP_ACE.2.4.m.5302
