Entry,D_3_T_23_adj.ChiSq.pval,D_3_T_29_adj.ChiSq.pval,D_5_T_23_adj.ChiSq.pval,D_5_T_29_adj.ChiSq.pval,D_7_T_23_adj.ChiSq.pval,D_7_T_29_adj.ChiSq.pval,D_9_T_23_adj.ChiSq.pval,D_9_T_29_adj.ChiSq.pval,D_11_T_23_adj.ChiSq.pval,D_11_T_29_adj.ChiSq.pval,D_13_T_23_adj.ChiSq.pval,D_13_T_29_adj.ChiSq.pval
P20742,0.986700297417779,0.00279224597345496,0.385046748950836,0.973152018906767,0.0743052940284932,0.409044832326657,0.995145092771847,0.688744386188384,0.526734877093014,0.0258491789884285,0.149107457409058,0.561683472853876
Q8BYM7,0.986700297417779,0.999430996321945,0.982201279174495,0.956058646521663,0.774227166929637,0.907257190684007,0.983826985044726,0.105152371278326,0.0115965373280353,0.0184771299671839,0.266363394251047,0.538977833169763
P0C6B8,0.986700297417779,0.999430996321945,0.456548604753948,0.145426846899771,0.263592282718763,0.333032218426373,0.124706656005357,0.0454742237952716,0.814096624849297,0.0537508717207119,0.00540253502170667,0.00028496526200056
P46531,0.986700297417779,0.999430996321945,0.47702807309572,0.000180267977311831,0.00249926018691434,2.20259821893799e-06,1.02590867569712e-05,4.48775091412268e-13,2.44126080595351e-11,4.81505978754117e-14,6.27074038698877e-09,1.21724194067227e-13
P48809,0.986700297417779,0.999430996321945,0.982201279174495,0.973152018906767,0.996246021668058,0.938232478990227,0.995145092771847,0.86138907231383,0.0373177758890244,0.571843558896439,0.924704430723309,0.975610914628898
P06605,0.986700297417779,0.999430996321945,0.982201279174495,0.560065526810232,0.869960396704832,0.323562968247588,0.00663919142385398,0.000517790463280096,0.00124513318968657,0.0190256558363893,0.0429040603301004,0.975610914628898
Q99LE6,0.986700297417779,0.269499534628663,0.0256460940181475,0.134983954031653,0.0295481009346931,0.536492014204435,0.0333921858820191,0.977637038443834,0.776762967367857,0.966102556326282,0.594204003123607,0.975610914628898
Q0P4F7,0.986700297417779,0.356082363991149,0.121410044680325,0.311024739989645,0.113050356640188,0.234834894840307,0.114966168452454,0.048998437860305,0.0609747370428542,0.0568423008014138,0.277123698097782,0.0757396445467388
O17320,0.986700297417779,0.999430996321945,0.982201279174495,0.973152018906767,0.996246021668058,0.907257190684007,0.804898981239317,0.977637038443834,0.963868455966786,0.834644398390533,0.87363744779692,0.019815473917766
Q93129,0.986700297417779,0.269520371090425,0.982201279174495,0.118419958760909,0.00928149878169097,0.000573802115312057,0.995145092771847,0.00192656128890551,0.118328754689617,0.031401820352578,0.000977966517263378,0.000508048549184018
Q26065,0.986700297417779,0.419915528712429,0.982201279174495,0.0963768551423943,0.996246021668058,4.01823232432375e-06,0.304447724482894,0.977637038443834,0.963868455966786,0.0860539444132894,0.0270356590817883,0.000303980009538375
Q92193,0.986700297417779,0.999430996321945,0.982201279174495,0.115612252048916,0.996246021668058,1.34293194695293e-06,0.995145092771847,0.977637038443834,0.963868455966786,0.214123642618548,0.0187855607464857,0.543014512721495
P02578,0.986700297417779,0.999430996321945,0.982201279174495,0.0128158941838733,0.116216023498873,0.00876243703360066,0.995145092771847,0.464672684977722,0.866796154916343,0.841939701697444,0.00238953868931437,0.00550167229373496
P41340,0.986700297417779,0.999430996321945,0.982201279174495,0.736384887322889,0.996246021668058,0.526390914997552,0.974861123486163,0.977637038443834,0.963868455966786,0.242803245265308,0.993476435129366,0.00185670943757183
Q25010,0.986700297417779,0.999430996321945,0.982201279174495,0.301816476195811,0.996246021668058,0.272175944269009,0.640192194966931,0.979325463482877,0.963868455966786,0.577257229869265,0.924704430723309,0.03133757466393
P53505,0.986700297417779,0.999430996321945,0.982201279174495,0.790199053282632,0.996246021668058,0.938232478990227,0.995145092771847,0.952983285683949,0.963868455966786,0.144339478584666,0.924704430723309,0.000641865363130373
P17126,0.986700297417779,0.968983180174284,0.983212220270889,0.218410207625733,0.100022559407314,0.0102146206019083,0.855223723821063,0.131436074155013,0.385400004189698,0.0814520219290532,0.0351519727143602,0.00369779919576432
L7UZ85,0.986700297417779,0.437680846329219,0.421315691210563,0.383405139683212,0.996246021668058,0.238290807521857,0.995145092771847,0.0239778444322925,0.0425093724847175,0.000438141569379773,0.00257418969598392,0.00179942870662523
Q9UKP5,0.986700297417779,0.999430996321945,0.0244990623529376,0.00693015968496165,0.00385974970058973,0.0141891979315128,0.00418547240235375,0.11418027579981,0.00224904097597463,0.130548173538295,0.00733773789124089,0.108001215648207
Q8TE56,0.986700297417779,0.999430996321945,0.384540563019182,0.76006577419494,0.996246021668058,0.336080575597742,0.309466186336687,0.00084968744448948,0.00349602462392552,0.00127627191020462,0.00171643364920968,8.96243571608875e-05
P55266,0.986700297417779,0.111146694761609,0.0735093645963326,0.094879096911689,0.0703595673149875,0.13989758816483,0.0699225358641646,0.07366380639797,0.0882845029156592,0.0825574116296307,0.167474647103037,0.0443224480966819
P53683,0.986700297417779,0.999430996321945,0.982201279174495,0.852483098190492,0.914997778241689,0.938232478990227,0.747272603203879,0.149401563488914,0.186740004282036,0.123442418709329,0.028593019256638,0.00425877985233323
P10079,0.986700297417779,0.00173903424910136,0.0552988236448628,0.0207625795432958,0.00073832527585266,0.0313418970533986,0.00500489528465466,0.000686900060225948,0.00441541604583883,0.0860539444132894,0.0370233666805726,0.0171271192956803
A2RUV0,0.986700297417779,0.999430996321945,0.943696761443377,0.973152018906767,0.779891385507429,0.13177425247662,0.221443018018286,0.07366380639797,0.144949463537731,0.00193615589506938,0.167474647103037,0.0152197476544503
P21783,0.986700297417779,0.00231945865446251,0.0203604767375242,0.00220780502480347,0.000261442887816258,1.92823097160394e-05,1.96669791246315e-05,9.55802224424206e-09,2.79469574031967e-08,1.04459902888117e-07,8.48797548808714e-05,3.34453780387173e-08
P46531,0.986700297417779,0.999430996321945,0.982201279174495,0.389187951077939,0.624222737181948,0.0809562981389116,0.221443018018286,0.0128446131131779,0.0300946434515797,0.000394686639513275,0.0636690533070378,0.00226316759959222
Q5RD69,0.986700297417779,0.213372572969534,0.542385146646393,0.973152018906767,0.0934973047998511,0.630798799597708,0.0146413350765197,0.19704050514314,0.528801994139293,0.966102556326282,0.924704430723309,0.264809860136852
Q01133,0.986700297417779,0.00235347006410833,3.33116182472811e-06,1.78503580907321e-09,0.000112140304468721,4.08867138747317e-07,1.98932610765055e-07,8.291832690705e-06,0.000364291468914365,8.74061592072057e-07,0.0468509563418674,7.21517793693905e-05
Q5TCS8,0.986700297417779,0.000819592442639197,0.00098056892405176,0.00153786688135192,0.00220854799936448,0.0275715576900341,5.08299250650543e-06,1.33495725681858e-07,3.01837399422031e-07,1.68962074084597e-06,7.37910629169161e-05,7.5041530310299e-08
Q5TCS8,0.986700297417779,0.00137027826307158,0.00260649741054359,0.00419128609621081,0.00571856155590034,0.0397064161617464,4.69958032212487e-05,3.4370101020678e-07,3.01837399422031e-07,3.95150197351418e-05,0.000294977800768532,1.87506479322372e-07
P06605,0.986700297417779,0.999430996321945,0.982201279174495,0.973152018906767,0.996246021668058,0.630798799597708,0.0421771896618538,0.00521086919066578,0.0100701383859216,0.0427160037159433,0.116002755166666,0.975610914628898
P91778,0.986700297417779,0.484220774551362,0.456548604753948,0.211116817711668,0.466430770115161,0.725023375711411,0.833502179385949,0.702035043240514,0.309641680227219,0.287693592465556,0.504304138988881,0.0131418786255694
G5E8K5,0.986700297417779,0.999430996321945,0.803950446681089,0.60145094619142,0.941206696114216,0.590685715477417,0.108068527840695,0.0300950197023493,0.188205253056128,0.0474256719114306,0.924704430723309,0.464010287276322
Q01484,0.986700297417779,0.999430996321945,0.622438908203112,0.52840392747083,0.814066578257597,0.585669722130215,0.0775775147607098,0.0267275463691973,0.114824602756937,0.0258341830949275,0.924704430723309,0.388174249130998
Q01484,0.986700297417779,0.999430996321945,0.803950446681089,0.632482972598631,0.996246021668058,0.779837451559003,0.117009302833766,0.020261120612482,0.164817512740313,0.0327356880445236,0.924704430723309,0.277712887303246
Q8N7Z5,0.986700297417779,0.166463993978215,0.0090238309241338,0.0380810162655251,0.0238962401622775,0.0300030306173952,0.0253027703428765,0.0289393149050765,0.0370347462616604,0.0743481404146393,0.181122545811428,0.0129619900213258
Q9U943,0.986700297417779,0.612285915952614,0.00580662260472888,0.0198567423474648,0.950021315921869,0.779837451559003,0.974861123486163,0.001089194928066,0.0679399350847092,7.79127407400267e-06,1.14484423652e-05,1.01528741999488e-09
Q9U943,0.986700297417779,0.510990841066584,0.00419343754843745,0.01522959138851,0.869960396704832,0.725023375711411,0.974861123486163,0.000771577714417758,0.0538528947134223,5.36815253798404e-06,8.29469993095646e-06,6.19011606052706e-10
Q9FSG7,0.986700297417779,0.00241576125079023,0.00134320811488807,0.00166846916771609,0.0563305817870919,0.33203441858178,0.00228696026252012,0.00574693054729504,9.85950438839863e-05,5.06790599114606e-06,0.290843355473213,0.000102408813358862
D4B1Z7,0.986700297417779,0.999430996321945,0.803950446681089,0.973152018906767,0.0318863420240503,0.938232478990227,0.00702703398847173,0.568133919912647,0.0716906787112728,0.518125235123208,0.311876913368554,0.975610914628898
P42325,0.986700297417779,0.999430996321945,0.982201279174495,0.973152018906767,0.996246021668058,0.907257190684007,0.840071508134975,0.398493391690629,0.962893262589709,0.242803245265308,0.692729592853666,0.0467639871951751
Q6RWA9,0.986700297417779,0.511355436446194,0.667183733843111,0.389187951077939,0.315745872681095,0.00143656322861059,0.221443018018286,0.276761465050412,0.049260612992448,0.961363911790654,0.2708638796737,0.975610914628898
Q8TE57,0.986700297417779,0.999430996321945,0.0792867746849271,0.0228110014365093,0.0143482649473922,0.0413105931770558,0.0149449127641372,0.272170529624684,0.00782489162115423,0.305367872121478,0.0220736897640791,0.272132762721741
Q69Z28,0.986700297417779,0.00748587761496623,0.00363830282898639,0.00135689919555364,0.00342329194175154,0.000273715705555018,0.0001107435821698,2.25520331738148e-05,1.05940794734911e-05,4.77820586859466e-05,0.00478809642510595,0.00550167229373496
Q69Z28,0.470504225726643,0.158487498976093,0.0528703665962561,0.0825002127268247,0.22414824671362,0.907257190684007,0.140111181715335,0.0858458676760713,0.109476319349038,0.00325932182261119,0.0104196593720072,0.000997548068835599
Q8JFX8,0.986700297417779,0.999430996321945,0.229263006633752,0.627860712020428,0.242524947977115,0.352550368886879,0.639975307643047,0.178731923131767,0.761448523199057,0.10450735797278,0.311876913368554,0.0308106713793368
Q2T9T0,0.986700297417779,0.00431729132868975,0.00031367042836061,0.00127475086039004,0.0188149596024673,0.00503176632576197,0.00178910173063034,1.83828278102217e-05,1.55885757890115e-05,9.09706420830827e-08,1.81410718311804e-07,1.51883077169604e-07
P0C6B8,0.986700297417779,0.000152676853911262,0.000180365045492975,1.14370964418658e-07,1.2299234239933e-11,5.72048626917466e-11,1.23772331235239e-10,6.60802879592955e-13,1.97982178185739e-11,1.1207217883028e-11,4.50115340325337e-11,1.90609000256663e-12
A0A0R4IBK5,0.986700297417779,0.0874028663161009,0.114901452457918,0.0122826755884768,0.0220905775642957,0.0594609471660049,0.00782198197655027,0.0259517956792784,0.0332304416130163,0.0115201715388805,0.311525262338725,0.00418435113243652
A0A0R4IBK5,0.962345963035819,0.000530338352418925,0.000276801352747755,0.000235282741290117,3.35609742715509e-05,0.000679180280663249,3.51313469536535e-05,4.49200501599301e-05,7.51813864647231e-05,7.21214542486022e-05,0.0176616140860955,1.26822463249047e-05
