"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
2,"9","CHOYP_MYS.4.7.m.18188",141.88085,180.7544,183.19635,175.8307,191.9963,211.79105,211.19245
28,"9","CHOYP_MYSP.1.9.m.1097",364.6204,92.97375,240.02425,46.3273,361.8968,360.46315,554.6728
29,"9","CHOYP_MYSP.4.9.m.2302",259.19385,1147.50595,569.57415,1208.58315,434.48165,556.2715,627.3832
25,"9","CHOYP_MYSP.8.9.m.44813",161.40425,111.63405,241.6663,240.88295,195.80085,176.1415,0.1
23,"9","CHOYP_NPC2.6.7.m.31030",87.8344,229.2927,356.49655,315.0711,266.57065,215.0872,262.5272
32,"9","CHOYP_PAN2.1.1.m.44691",373.3665,441.7236,0.1,0.1,296.0909,964.1086,0.1
25,"9","CHOYP_RS3A.4.15.m.15367",136.9162,162.87345,182.7894,173.63305,88.90715,171.7772,0.1
1,"9","CHOYP_RS5.1.2.m.146",97.63145,121.6388,231.0983,168.51615,165.18025,193.74205,211.50285
7,"9","CHOYP_TAGL3.1.1.m.31031",271.90145,317.2425,280.77695,257.51455,361.24375,467.86335,423.168
33,"9","CHOYP_TBA.1.6.m.12217",441.20555,34.45415,140.54485,183.0576,83.7,50.3576,0.1
35,"9","CHOYP_TBB4B.1.7.m.12262",290.5583,575.2672,265.15795,367.6797,401.77685,635.2697,567.3892
24,"9","CHOYP_TBB4B.7.7.m.63980",549.2633,261.08445,359.34275,260.92085,285.65025,176.5041,192.195
17,"9","CHOYP_TRIADDRAFT_57086.1.1.m.25271",283.9452,303.20255,370.01345,259.1985,229.80995,270.9148,478.2411
24,"9","CHOYP_VOLCADRAFT_93060.2.2.m.26741",572.0971,284.42,182.0209,166.2589,183.36395,193.93855,157.5121
