protein,PC1loadings
CHOYP_BRAFLDRAFT_204923.2.2.m.63877,-0.0317314328647882
CHOYP_BRAFLDRAFT_206907.11.11.m.60959,-0.028827848252879
CHOYP_BRAFLDRAFT_208293.15.20.m.61604,-0.0297097125375628
CHOYP_BRAFLDRAFT_212086.4.11.m.42448,-0.0365239349061456
CHOYP_BRAFLDRAFT_249506.2.2.m.60314,-0.0328649706517197
CHOYP_LOC101169131.2.2.m.32499,-0.0357350200424154
CHOYP_contig_041288.m.47081,0.0326050896617945
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,-0.0581339124653545
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,0.0704176209644959
CHOYP_TRI33.5.8.m.56889,0.0335253995893339
CHOYP_BRAFLDRAFT_88543.1.2.m.54473,-0.0276332377760096
CHOYP_BRAFLDRAFT_205939.3.3.m.64021,-0.032729449639592
CHOYP_C10.1.2.m.23678,-0.0410007069019096
CHOYP_CALM.37.50.m.52385,-0.0251240018491301
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,-0.0392566306618979
CHOYP_CASP7.5.23.m.12847,-0.0266203333905284
CHOYP_DMOJ_GI18492.1.1.m.8903,0.0424269913121694
CHOYP_CBR.LIN.24.1.1.m.5076,-0.0280794126200181
CHOYP_CCBL1.1.1.m.30637,-0.0369360142641936
CHOYP_DCDC2.7.7.m.46807,-0.0264044741463883
CHOYP_DSIM_GD24875.1.1.m.66201,0.0303368277715688
CHOYP_EPDR2.1.1.m.33988,0.0372922317856208
CHOYP_EPN4.1.3.m.10807,-0.0424129267465941
CHOYP_F10A1.4.4.m.44752,0.0313031920060396
CHOYP_FABP6.2.2.m.59518,-0.0270908127134586
CHOYP_RPS24.1.8.m.571,0.0315352226691116
CHOYP_IMSP5.2.2.m.17779,0.0480941614804913
CHOYP_BRAFLDRAFT_208436.28.32.m.61328,0.0359931571855254
CHOYP_KPYK.2.4.m.19753,0.0440683374397851
CHOYP_LOC100120260.1.1.m.41888,0.0317054443837385
CHOYP_LOC100367535.1.2.m.4730,0.0301453954728997
CHOYP_LOC100367637.1.1.m.55661,-0.0430678931234042
CHOYP_LOC100367954.2.2.m.66596,0.0330352679700459
CHOYP_BRAFLDRAFT_220356.5.6.m.38505,0.0332496963063462
CHOYP_LOC100373522.2.5.m.19698,0.0490810796688082
CHOYP_LOC100375029.8.10.m.60484,-0.0399099256208671
CHOYP_LOC100375029.6.10.m.36981,0.033597218426485
CHOYP_SODM.2.2.m.62946,-0.0302010885808716
CHOYP_LOC100377392.2.4.m.21904,0.0330433189374123
CHOYP_contig_035889.m.40603,-0.0423209620909981
CHOYP_LOC100638431.3.10.m.24462,-0.0426842301148587
CHOYP_LOC100693418.2.2.m.56971,-0.0281079062080026
CHOYP_LOC100696604.1.1.m.40638,0.0487399307286711
CHOYP_LOC100876515.1.2.m.37063,0.0340313868691063
CHOYP_LOC100890753.1.3.m.50299,-0.0284939682034923
CHOYP_LOC101064328.2.3.m.57090,-0.0317570439158588
CHOYP_LOC101067281.1.2.m.14666,-0.0288854172177443
CHOYP_BRAFLDRAFT_246447.1.1.m.30255,-0.0264885805852458
CHOYP_LOC101173335.4.4.m.49816,-0.0375031059419185
CHOYP_LOC574855.1.9.m.547,0.0376916622500993
CHOYP_LOC585972.1.1.m.25356,-0.025975101329358
CHOYP_LOC592142.4.9.m.49474,0.0383919068787085
CHOYP_LOC592209.1.1.m.48009,-0.0337578113919122
CHOYP_LOC662320.2.2.m.19454,-0.0358828476284735
CHOYP_MD27A.1.2.m.18338,-0.0388287013138502
CHOYP_MET14.1.1.m.5073,-0.0344132533299315
CHOYP_ISCW_ISCW000210.4.4.m.38490,0.0475391790417226
CHOYP_NF70.1.4.m.31159,0.0322165200520798
CHOYP_LOC752782.1.1.m.53937,0.048493091032282
CHOYP_ACT.5.27.m.15585,-0.0261934683187812
CHOYP_ACT.6.27.m.15622,-0.0499557307166933
CHOYP_LOC100890099.1.1.m.11505,0.0440360138624742
CHOYP_ACT.23.27.m.58454,-0.0446527872630919
CHOYP_PAN2.1.1.m.44693,-0.0385172359485293
CHOYP_DSEC_GM16292.1.1.m.12184,-0.0404242558156246
CHOYP_PRP6.2.2.m.34365,-0.025238470119125
CHOYP_RNOY.1.3.m.4495,-0.031615308363293
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,0.0366644733861516
CHOYP_RS8.8.14.m.44842,-0.0386113457927
CHOYP_TBA1A.2.4.m.19573,-0.0425898060345994
CHOYP_TBA.1.6.m.12217,-0.0303098063827762
CHOYP_LOC584364.2.2.m.57790,-0.0363617026110848
CHOYP_TBA.5.6.m.37448,-0.0347464878041054
CHOYP_TPM.17.19.m.63919,-0.038184099561342
CHOYP_BRAFLDRAFT_277797.1.1.m.26394,-0.0297361871841683
CHOYP_TSP_02835.1.1.m.26375,-0.037682428860568
CHOYP_BRAFLDRAFT_277920.1.1.m.28845,-0.0253904045112143
CHOYP_TVAG_355490.7.22.m.16997,-0.0302058526576371
CHOYP_LOC100485383.1.1.m.52650,-0.0414812961957274
CHOYP_contig_013837.m.15768,-0.0279805229772736
CHOYP_TXND3.2.4.m.21415,-0.0338795750903411
CHOYP_UBE2C.1.1.m.55757,-0.025573338612176
CHOYP_contig_016120.m.18916,0.0310344813475314
CHOYP_contig_016559.m.19503,-0.0340086487799234
CHOYP_contig_002417.m.2661,0.0321775587626591
CHOYP_contig_043280.m.49983,0.0531462297749919
CHOYP_contig_004869.m.5573,-0.0277231005256866
CHOYP_contig_048805.m.57897,-0.039281312781673
CHOYP_contig_051499.m.61590,-0.0288177544856312
CHOYP_contig_040238.m.45604,-0.0441384418308914
CHOYP_LOC100740246.1.1.m.25108,-0.0367053669991547
CHOYP_LOC101159300.1.1.m.26609,-0.0282093546141392
CHOYP_MOB1.1.1.m.19452,0.03065938692188
CHOYP_contig_037467.m.42206,-0.0455101580806844
CHOYP_FMRF.2.4.m.37051,0.0361145981845987
CHOYP_LOC100730443.1.1.m.57698,0.0436145546105187
CHOYP_GOPC.1.1.m.45489,-0.025676330950614
CHOYP_BRAFLDRAFT_59154.3.3.m.53255,-0.0256963251720174
CHOYP_BRAFLDRAFT_84054.1.2.m.8523,-0.0315993633380111
CHOYP_LOC100369290.1.1.m.66929,0.0410383633240411
CHOYP_NEMVEDRAFT_V1G243463.1.1.m.49871,0.0368495118116784
CHOYP_LOC100367089.1.4.m.1412,-0.0288035231719648
CHOYP_PCDH9.5.5.m.59488,-0.0417370566959767
CHOYP_ATRP.1.1.m.22451,-0.0355181068764608
CHOYP_BRAFLDRAFT_118602.3.5.m.19626,0.0302841460573674
CHOYP_TMEL_0889.1.2.m.168,0.0313244767535352
CHOYP_TRIADDRAFT_37121.1.1.m.51940,-0.0350319054353988
CHOYP_LOC100373578.1.1.m.478,-0.0275301434284299
CHOYP_contig_007858.m.9121,-0.0263494665588728
CHOYP_ANT_25430.1.2.m.613,-0.0258197928836591
CHOYP_BRAFLDRAFT_85896.1.1.m.38692,-0.0299209975017326
CHOYP_LOC100909243.1.1.m.22728,-0.0271314445115463
CHOYP_BET1L.1.1.m.8210,-0.0266494734141068
CHOYP_BRAFLDRAFT_80064.1.1.m.40175,-0.0274182546916032
CHOYP_CADM4.1.1.m.60661,-0.0312880485611002
CHOYP_CI064.1.1.m.9517,-0.0273427140106219
CHOYP_COQ9.1.2.m.4620,-0.0359328814340343
CHOYP_GPX1.1.4.m.11300,0.0416062538913523
CHOYP_KCP.7.13.m.40006,-0.0337222473828188
CHOYP_LOC100119236.1.1.m.22785,-0.0320097145020318
CHOYP_LOC100368004.1.1.m.62584,-0.031502234787517
CHOYP_LOC100368071.1.1.m.6755,-0.0272871996146351
CHOYP_LOC100369712.1.1.m.64282,-0.0272508088988294
CHOYP_LOC100372208.1.1.m.18397,-0.0262321367628298
CHOYP_LOC100376200.1.1.m.19157,-0.0362286250375376
CHOYP_LOC101076180.1.1.m.41749,-0.0268375467512009
CHOYP_LOC660510.1.1.m.56258,0.044670005895181
CHOYP_LOC725079.1.1.m.66349,-0.0413951592051384
CHOYP_NEMVEDRAFT_V1G235656.1.1.m.19149,-0.0441004884634216
CHOYP_NEMVEDRAFT_V1G96234.1.1.m.27743,-0.0403815827599803
CHOYP_P3A2.1.3.m.11560,-0.0432149171587595
CHOYP_UBR7.1.1.m.7300,-0.0341496444056594
CHOYP_contig_010154.m.11827,0.0585189920159753
CHOYP_contig_044803.m.51967,-0.0265584904371222
CHOYP_contig_055225.m.65857,-0.0313233028886433
CHOYP_contig_039208.m.44410,0.037890069122054
CHOYP_CCD43.1.1.m.63636,-0.0360957036817043
CHOYP_contig_000189.m.198,0.0314069232279591
CHOYP_ANM12.1.1.m.53881,-0.0295827439026529
CHOYP_LOC100368023.1.1.m.14890,-0.0317187124704936
CHOYP_CELE_F01D5.5.1.1.m.4265,0.0323176953364577
CHOYP_CELF4.1.1.m.22429,-0.0254095615585895
CHOYP_LOC100374254.1.1.m.22199,-0.0256935935313681
CHOYP_BRAFLDRAFT_208197.2.21.m.9816,-0.0304423700146302
CHOYP_POLR3K.1.1.m.8423,-0.0504587994125087
CHOYP_contig_005396.m.6126,0.0349214431822852
CHOYP_CLK2.1.1.m.3081,0.0322135811002148
CHOYP_CNOT1.1.1.m.12106,0.0337483662398224
CHOYP_LOC101065149.1.1.m.49591,0.041130409239496
CHOYP_CP3AB.4.4.m.47872,-0.0253030917077134
CHOYP_contig_049548.m.58834,0.0396735000943017
CHOYP_LOC100005318.1.1.m.30043,-0.0255330963831253
CHOYP_SREC2.9.9.m.66799,0.0331986940618254
CHOYP_DANA_GF15955.1.1.m.44178,-0.0375140448439829
CHOYP_DDX47.1.1.m.11144,-0.0392909762677979
CHOYP_DDX58.9.9.m.62758,-0.0332066551287786
CHOYP_EHHADH.1.1.m.26459,-0.0263653906916947
CHOYP_EXOS3.1.1.m.10596,-0.0269799167434429
CHOYP_FEN1.1.1.m.66181,-0.0379663162378504
