"","X2_3","X2_5","X2_7","X2_9","X2_11","X2_13","X2_15"
"CHOYP_LOC594315.1.1|m.28047",57.5,56,54,42.5,26.5,37,52
"CHOYP_2AAA.1.1|m.13306",51,53,53.5,48.5,33.5,22,53
"CHOYP_1433E.1.2|m.3638",55.5,52,52,49,18.5,39,55.5
"CHOYP_NEMVEDRAFT_V1G120119.1.2|m.6082",43,60,67.5,46,30,24.5,44.5
"CHOYP_ABCF2.1.2|m.28362",51,58.5,44.5,54,33,58.5,57
"CHOYP_LDLR.6.7|m.57984",42,54.5,78,50.5,22,24,40.5
"CHOYP_CATB.1.2|m.5440",72,73,48.5,37,19.5,17.5,40
"CHOYP_BRAFLDRAFT_279789.3.3|m.48128",51,51,54.5,51,29,40,53.5
"CHOYP_LOC100372131.1.2|m.36461",54,53.5,56,33.5,23,26,50.5
"CHOYP_BRAFLDRAFT_129259.1.1|m.9267",42.5,51,65,47.5,7,23,58.5
"CHOYP_LOC100166368.1.1|m.44709",46,48,57.5,49.5,28.5,36,49
"CHOYP_SMP_089460.1.1.1|m.34779",57,49,52.5,44,19.5,38.5,43.5
"CHOYP_PSA.1.1|m.27259",47.5,55.5,54,43.5,15,26,53
"CHOYP_ANK3.3.9|m.6798",65,58,60,50.5,9.5,3,5.5
"CHOYP_SAHHA.1.1|m.62610",44.5,53,59.5,48,26,33.5,57.5
"CHOYP_LOC100877689.2.2|m.26187",53.5,45.5,52.5,50.5,27.5,46,55
"CHOYP_HNRPR.1.2|m.44125",50.5,43.5,44,38,26,35,45
"CHOYP_RGD1561408.1.2|m.4308",31.5,67,42.5,57,18,27,55.5
"CHOYP_WDR1.1.1|m.29076",50.5,46,53.5,33,16.5,18,44
"CHOYP_RADI.1.2|m.2373",48.5,45,48.5,41,19,29.5,46.5
"CHOYP_PAN2.1.1|m.44691",0,0,172,0,0,0,0
"CHOYP_HS74L.1.1|m.24610",49,53.5,48,39.5,13.5,23,39.5
"CHOYP_ACT.23.27|m.58454",39,0,30.5,0,27.5,32.5,67.5
"CHOYP_CD109.1.2|m.7033",51,53.5,56.5,34.5,18.5,20,42.5
"CHOYP_COPA.1.1|m.31888",40.5,42.5,49,40,9.5,20.5,58.5
"CHOYP_COPG2.1.1|m.60836",53.5,45,50,41.5,7.5,23,46
"CHOYP_DNAH5.2.2|m.61452",59,50,55.5,37.5,5,10.5,22.5
"CHOYP_PHUM_PHUM226120.2.7|m.2274",37,35.5,43,33,57.5,68,46.5
"CHOYP_LRP5.1.3|m.18025",48.5,45.5,47,34,21,20.5,31
"CHOYP_LOC100376187.1.2|m.22540",18.5,42.5,56.5,40.5,14.5,9,45
"CHOYP_VOLCADRAFT_93060.2.2|m.26741",78,51.5,41.5,29,14.5,19,38.5
"CHOYP_BRAFLDRAFT_127065.6.7|m.30727",108.5,80,28.5,15,31.5,7.5,12
"CHOYP_BRAFLDRAFT_277494.3.3|m.62602",45,44.5,46,39,15,22,47
"CHOYP_RS3.2.7|m.23037",45,44,46.5,36,24.5,39.5,45
"CHOYP_TRIADDRAFT_57086.1.1|m.25271",33.5,58,61.5,30,10,18.5,60
"CHOYP_CDPK5.1.1|m.6214",48.5,46.5,58,29.5,14.5,16,26
"CHOYP_EF2.5.5|m.39856",50.5,49.5,48,37.5,14.5,20,38
"CHOYP_LOC100372926.2.3|m.61794",34,47,48,43.5,22,20.5,31
"CHOYP_LOC752782.1.1|m.53937",0,111,0,0,0,0,5.5
"CHOYP_EMAL1.1.1|m.58030",42,43,42,32.5,13,16,36.5
"CHOYP_LOC587133.1.1|m.61281",43,30,39,24,8,4,19.5
"CHOYP_TAGL3.1.1|m.31031",48.5,38,38,25,11,22,36.5
"CHOYP_LOC101173335.2.4|m.33982",23.5,45,75.5,56.5,16,9,19.5
"CHOYP_LOC100168945.1.1|m.37004",42.5,43.5,36.5,40.5,20.5,31.5,45.5
"CHOYP_COPB2.1.1|m.11046",45.5,46.5,46.5,37.5,11.5,25,46
"CHOYP_ENPL.3.4|m.39476",50,27,54,26,22.5,17.5,53
"CHOYP_BRAFLDRAFT_118602.2.5|m.17419",26,42.5,52,22,4,12,31.5
"CHOYP_RSSA.1.10|m.2054",47,48.5,45,38,11,17.5,44.5
"CHOYP_LOC578672.2.2|m.44884",44,46,43,43,18.5,28,40.5
"CHOYP_KPYM.1.1|m.33498",40.5,38,43,34,14,19,40
"CHOYP_ODO1.2.2|m.23540",39.5,45.5,43.5,37.5,14.5,15.5,35.5
"CHOYP_MLE.1.9|m.15462",48.5,39.5,33.5,31.5,26.5,21.5,12.5
"CHOYP_LOC100875585.1.1|m.8714",44.5,50.5,54,57.5,26,18.5,12
"CHOYP_GCN1L.1.1|m.1352",42,42,44,35.5,11.5,14,36.5
"CHOYP_RLA0.3.7|m.42196",35.5,42,49.5,31.5,12,23,42
"CHOYP_AATM.1.1|m.32176",40.5,42.5,41.5,38,22,25.5,39.5
"CHOYP_MYSP.1.9|m.1097",29,15,23,21,0,32,32
"CHOYP_ALF.2.3|m.40474",40.5,38.5,37.5,34.5,22.5,26,37
"CHOYP_EIF5A.1.3|m.22684",36,47,38,36.5,9.5,15,39.5
"CHOYP_CNDP2.3.4|m.30467",20,41.5,35,38.5,23,31,48.5
"CHOYP_PHUM_PHUM226120.5.7|m.43551",48.5,41,38.5,12.5,7.5,26,44
"CHOYP_SMP_012720.2.2|m.34968",32.5,33.5,37,33.5,10.5,27,36.5
"CHOYP_DMBT1.13.34|m.27666",32.5,45,44,35,16.5,24,43.5
"CHOYP_AT1A.1.1|m.18017",32.5,38.5,78,40,20,23.5,30.5
"CHOYP_LOC100186361.3.3|m.66600",39,36.5,46.5,32.5,18,24.5,41
"CHOYP_LOC100369378.1.1|m.5391",31,33.5,44.5,31,26.5,22.5,33.5
"CHOYP_TCPD.1.1|m.13556",35,36,36.5,35,16.5,16,31
"CHOYP_LOC660560.1.4|m.31036",29,35,41,30.5,7.5,12.5,30
"CHOYP_NF70.4.4|m.63507",47,52,32,37.5,20,20.5,29
"CHOYP_DDX3Y.1.1|m.3679",48,38,42,27.5,14,15,24.5
"CHOYP_ACLY.1.1|m.65081",29.5,34,36,30,13,28,35.5
"CHOYP_LOC100648516.1.1|m.64902",13.5,32.5,50,38,9,13.5,14.5
"CHOYP_LOC100883864.1.1|m.41791",37.5,34.5,40,27,7.5,13.5,31
"CHOYP_PABP4.4.6|m.38167",46,40.5,39,29,6,19.5,36
"CHOYP_VATA.1.1|m.44460",37.5,38,40,31,5,15,37
"CHOYP_BRAFLDRAFT_129513.1.1|m.51276",34.5,33,38.5,26.5,11,15.5,37
"CHOYP_LOC588883.3.3|m.38321",39.5,44.5,33.5,31.5,9,13.5,31
"CHOYP_LOC576511.1.1|m.53180",44.5,37.5,43,25.5,4.5,11,20.5
"CHOYP_TCPQ.1.1|m.57792",35.5,37,37,32.5,18,23,37.5
"CHOYP_BRAFLDRAFT_114866.4.5|m.35627",38,36,41,37,26.5,32.5,34
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729",35.5,37,43,31,14.5,16.5,34.5
"CHOYP_LOC100699383.1.1|m.63490",26,35.5,32,31,28,18.5,31
"CHOYP_EF2.5.5|m.39855",39,41.5,47,30.5,1.5,23,42
"CHOYP_LOC100492576.1.1|m.7775",30.5,32.5,39,34.5,15.5,22,33
"CHOYP_ALDH2.3.3|m.25044",31.5,32,35.5,33.5,14,25,38
"CHOYP_LOC575203.6.6|m.30705",38.5,38,33.5,27.5,8.5,11,40.5
"CHOYP_LOC100373045.1.1|m.16825",38,38.5,24.5,36,27.5,20,27.5
"CHOYP_TCPB.1.1|m.6398",39.5,33,33,33,17,15,29
"CHOYP_SYAC.2.2|m.18500",35.5,40,37,30.5,16,21,40
"CHOYP_DHE4.1.1|m.48536",43.5,37,34,30.5,7,9,22
"CHOYP_LOC100748395.4.7|m.40663",25,27.5,31.5,38.5,25.5,23.5,33
"CHOYP_LOC100703423.1.1|m.940",35.5,33,42,36,14,10.5,19.5
"CHOYP_LOC100369294.3.6|m.24633",15.5,39,38.5,35.5,20,24,41
"CHOYP_AGAP_AGAP002739.4.5|m.55695",27,49,28.5,26.5,27,26,36.5
"CHOYP_MDHM.1.1|m.43603",29.5,33.5,39.5,24.5,12.5,15.5,30.5
"CHOYP_LOC754102.1.1|m.57578",20,41,40.5,29.5,0,0,12.5
"CHOYP_NEMVEDRAFT_V1G140878.1.1|m.18069",45,45.5,31.5,19.5,9,11.5,29
"K1C9_HUMAN",32,32.5,22,47.5,30,43.5,41
"CHOYP_U520.1.1|m.7087",38,37.5,34,32,7,13,30
"CHOYP_IPO5.1.1|m.25693",30.5,38.5,35.5,29,6.5,17,35
"CHOYP_CISY.1.1|m.36666",36.5,36.5,36,25,16.5,20.5,30
"CHOYP_LOC100121788.1.1|m.28436",24,29,35.5,31,12.5,25.5,40
"CHOYP_RS5.1.2|m.146",21,22,39.5,26,12,21,33.5
"CHOYP_BRAFLDRAFT_124686.1.1|m.18409",28,32.5,32,27.5,14,14,30.5
"CHOYP_UBP47.2.2|m.66754",36.5,31.5,44,30,6,16,25.5
"CHOYP_LOC100180023.1.7|m.11060",31,31.5,37,21.5,8,11,30
"CHOYP_BRAFLDRAFT_80496.6.10|m.29014",17.5,49.5,77.5,35,7.5,5.5,28.5
"CHOYP_BRAFLDRAFT_130974.1.1|m.28374",32.5,32.5,30,30.5,21,27.5,35.5
"CHOYP_OAT.1.1|m.3069",41,37.5,35.5,27.5,12,11.5,32.5
"CHOYP_COPB.1.1|m.16988",30,33.5,33,29,12,17.5,31.5
"CHOYP_CHD5.2.2|m.28708",37,28.5,31,30,6,7,30
"CHOYP_SMP_078690.3.5|m.2272",36.5,31.5,33.5,28.5,12,12,32.5
"CHOYP_MTR_027S0011.1.1|m.29241",40,32.5,35.5,24,5,15.5,24.5
"CHOYP_LOC100377034.1.1|m.6251",31.5,31,32,25,6,14,31
"CHOYP_LOC582178.1.1|m.42729",36,37.5,36.5,30.5,9.5,10.5,14.5
"CHOYP_LOC100376272.3.4|m.30522",27.5,32.5,42,32.5,7.5,15,28.5
"CHOYP_PDIA6.1.2|m.9012",32.5,25,32,26,22.5,18,26.5
"CHOYP_contig_005583|m.6332",26.5,31,31.5,27,8.5,17,34.5
"CHOYP_LOC100890099.1.1|m.11505",70.5,70.5,0,0,0,26.5,60
"CHOYP_BRAFLDRAFT_203026.1.1|m.61263",34,31.5,33.5,22.5,9,11,32.5
"CHOYP_TCPH.1.1|m.7312",37.5,36.5,34.5,26.5,6.5,12,27
"CHOYP_NPC2.6.7|m.31030",21,38,38,30.5,10.5,16.5,32
"CHOYP_DX39B.2.3|m.18241",33.5,33,28.5,30.5,15.5,18,29.5
"CHOYP_ERF3A.1.1|m.57282",36,35.5,37.5,28,9,15.5,28.5
"CHOYP_LOC582874.1.1|m.5135",30,31,29.5,28,12.5,19.5,33
"CHOYP_LOC100372926.1.3|m.29881",37.5,24.5,32,16,8.5,16,41.5
"CHOYP_MDHC.1.1|m.57053",25.5,28.5,32,20,12.5,11.5,29
"CHOYP_PGK1.1.1|m.27254",27,28,27,26,16,17,30
"CHOYP_QCR2.1.1|m.35613",38,37,38.5,32,12,11.5,22
"CHOYP_PSMD1.1.1|m.21682",30,33,37,29.5,7,12.5,28.5
"CHOYP_BRAFLDRAFT_204736.2.2|m.63327",27.5,29,30,29.5,9.5,22.5,25.5
"CHOYP_EIF3C.1.1|m.7991",35.5,29.5,33.5,30,4.5,11,30
"CHOYP_LOC100876515.2.2|m.54514",34.5,32,30.5,21,2.5,2.5,19
"CHOYP_CYIIB.2.2|m.64544",29.5,30,28.5,24,22.5,34,26
"CHOYP_contig_041958|m.48141",16.5,26.5,36,15,4.5,7.5,20.5
"CHOYP_DWIL_GK25045.1.2|m.9225",27,31,28,24,14,20.5,31
"CHOYP_AAEL_AAEL008069.2.2|m.60920",23.5,21.5,23,27.5,22,28,25
"CHOYP_LOC100371677.1.1|m.122",26.5,29,30.5,25.5,11,32.5,35.5
"CHOYP_BRAFLDRAFT_125327.1.1|m.29699",31,28.5,29.5,22,5,19,31.5
"CHOYP_BRAFLDRAFT_228853.1.1|m.9833",36,28.5,28,25,3,10,31.5
"CHOYP_IDHC.1.1|m.7041",32,27.5,30.5,17,13,16,33.5
"CHOYP_LOC656867.1.1|m.28658",30,31,32,24,6.5,12.5,30.5
"CHOYP_ME3.1.1|m.58433",30,29.5,32,25,8.5,18,30.5
"CHOYP_1433G.2.2|m.63450",31,27,29.5,26.5,12.5,24.5,27
"CHOYP_BRAFLDRAFT_102424.4.6|m.51652",36,32,32,24,21,21,28
"CHOYP_RS3A.4.15|m.15367",32,32.5,39.5,26,1,25.5,39
"CHOYP_GIGA6.1.1|m.38687",26.5,31.5,29.5,28.5,12.5,19,31.5
"CHOYP_LOC575203.2.6|m.6856",33,33.5,33,21.5,10.5,14,29
"CHOYP_ARP3.1.1|m.6867",26.5,32,27,25,10.5,14,31.5
