gene,GO
TBA1A,GO:0000226
TBA3,GO:0000226
TBB.1.7.m.12262,GO:0003924
TBB.7.7.m.63980,GO:0003924
TCPD,GO:0005524
TCPH,GO:0005524
TEKT3.1.1.m.37281,GO:0002080
TEKT3.1.1.m.60031,GO:0002080
TEMPT.1.3.m.4934,GO:0005186
TITIN.6.19.m.31591,GO:0000794
TITIN.8.19.m.35861,GO:0000794
CEIP2,GO:0001525
ROAA,GO:0000122
TEMPT.4.4.m.44519,GO:0005186
COFI,GO:0003779
TYRO,GO:0005576
VATA,GO:0005524
DPGN,GO:0004867
XRN2,GO:0000738
1433Z.1.2.m.5643,GO:0019904
1433Z.2.2.m.61737,GO:0019904
2AAA,GO:0000775
TPD54,GO:0003824
RS27A.1.2.m.28362,GO:0005634
ACT.23.27.m.58454,GO:0005737
ACT.5.27.m.15585,GO:0005737
ACT.6.27.m.15622,GO:0005737
ACT3,GO:0005737
ACT3A,GO:0005737
NDUS6,GO:0005747
ACTN,GO:0019863
HTS.2.5.m.15081,GO:0005198
HTS.3.5.m.17639,GO:0005198
NDKB,GO:0002762
AGRIN,GO:0001934
KAD9.2.3.m.49697,GO:0005524
KAD9.3.3.m.63103,GO:0005524
ARP3,GO:0005524
ARPC2,GO:0005634
ATPB,GO:0005743
SVEP1,GO:0005576
MYCBP,GO:0005634
TEKT4,GO:0031514
SSPO.2.5.m.17419,GO:0007155
PRDX5,GO:0004601
TEKT2,GO:0005737
UAP1,GO:0005654
POSTN,GO:0001953
MIEAP,GO:0005741
RS13,GO:0005730
MTHSD,GO:0005737
CHIA,GO:0002376
FBP3,GO:0005615
C1QL4.2.13.m.10914,GO:0005615
CRB,GO:0003383
IF44L,GO:0005737
PACRG,GO:0003779
C1QL4.3.7.m.5968,GO:0005615
CALU,GO:0005576
CRNS1,GO:0005829
CATA.1.3.m.11120,GO:0005777
CATA.3.3.m.21642,GO:0005777
CALL,GO:0005634
CNDP2,GO:0005654
CO6A3.2.5.m.39533,GO:0004867
CO6A3.3.5.m.39796,GO:0004867
PDLI7,GO:0001725
TITIN.m.27774,GO:0002020
COX5B,GO:0005751
H2A,GO:0003677
RSSA,GO:0003735
FABP1.1.1.m.5763,GO:0008289
TRPT1,GO:0006388
RAN,GO:0005525
ODP2,GO:0005759
DLDH,GO:0004148
DYH7.2.3.m.32353,GO:0005509
DYH5.1.2.m.56799,GO:0005524
DYH5.2.2.m.61452,GO:0005524
DYH6,GO:0005858
DYH7.2.2.m.46648,GO:0003777
GDIR1,GO:0005094
HSPB1,GO:0005634
PPIB.1.1.m.10086,GO:0003755
H2B7,GO:0003677
EXC4,GO:0005244
DYH1,GO:0003777
DYH2.1.1.m.28905,GO:0005874
DYHC,GO:0005524
EF1A.2.4.m.50858,GO:0003924
EF1A.1.3.m.30022,GO:0003924
EF2.4.5.m.30186,GO:0003924
EF2.5.5.m.39855,GO:0003924
ETIF1,GO:0003743
IF5A1,GO:0005643
ENO,GO:0000287
ERF3A,GO:0002184
FABP7,GO:0005911
GSTA.1.1.m.54271,GO:0005737
FAS,GO:0004312
FLNA.2.6.m.11845,GO:0003779
FLNA.2.5.m.37450,GO:0002576
ARPC5,GO:0005634
GELS2,GO:0005856
BIP,GO:0005788
GST,GO:0005737
GSTO1,GO:0005737
HMCN1.19.44.m.39500,GO:0005509
HMCN1.23.44.m.42684,GO:0005509
HMCN1.28.44.m.47379,GO:0005509
TITIN.9.12.m.44986,GO:0002020
HSP7D,GO:0005634
H90A1,GO:0005634
IDLC,GO:0005737
IF2A,GO:0005634
NDUS3,GO:0005739
ERP29,GO:0005783
ANM1,GO:0005634
KARG,GO:0005524
KCY.1.1.m.29973,GO:0004550
RL402,GO:0005634
UNC89,GO:0005089
CO6A4.1.3.m.5994,GO:0005581
VATF,GO:0033180
MYDGF.1.1.m.22032,GO:0001934
KCY.1.1.m.2987,GO:0004550
RLA2.1.7.m.1896,GO:0005840
RLA2.4.7.m.28172,GO:0005840
USPAL,GO:0016208
RL6,GO:0000049
CFA45,GO:0005654
ASNS,GO:0005524
GLYC,GO:0005829
YR811,GO:0046872
VWKA,GO:0000331
AN32A,GO:0005737
DYH10,GO:0005737
PPIB.1.1.m.55368,GO:0003755
ALRF2,GO:0003723
HYDIN.2.6.m.7640,GO:0003341
HYDIN.4.6.m.27594,GO:0003341
YD541,GO:0016616
HPGDS,GO:0001516
RS12,GO:0005794
TEKT1,GO:0005737
SPTCB,GO:0005200
SPTN5,GO:0003779
PMFBP.1.2.m.13657,GO:0007010
PMFBP.2.2.m.43339,GO:0007010
CFA61,GO:0005930
PLCL,GO:0030246
CO6A3.5.9.m.39538,GO:0004867
CO6A4.6.9.m.44250,GO:0005581
SSPO.3.8.m.32060,GO:0007155
SSPO.6.8.m.41866,GO:0007155
SSPO.7.8.m.41875,GO:0007155
CALR,GO:0006457
IFEA.2.3.m.44496,GO:0005737
FABP1.2.2.m.52097,GO:0008289
CO6A3.1.1.m.64152,GO:0004867
BP10,GO:0005615
ITIH4,GO:0005576
DMBT1,GO:0003677
FAT4.1.1.m.65727,GO:0001736
AL7A1,GO:0005634
CO6A3.1.2.m.17960,GO:0004867
CAP1.1.2.m.7245,GO:0003779
CAP1.2.2.m.45011,GO:0003779
MSRB2,GO:0005739
PAIRB,GO:0005634
TXD17,GO:0005829
SKP1,GO:0016567
LAMA,GO:0005604
ACTB3,GO:0005634
MLRA,GO:0016459
L2EFL,GO:0009408
H4,GO:0003677
MUC1.1.2.m.17333,GO:0000978
MYDGF.1.2.m.6533,GO:0001934
VWDE.3.3.m.29759,GO:0005576
ATPD,GO:0005739
PPIA,GO:0005737
CO6A3.2.4.m.33982,GO:0004867
DYH2.1.2.m.24785,GO:0005874
CG031,GO:0005813
TTC25,GO:0005856
TBA.2.2.m.57790,GO:0005525
AMY1,GO:0005509
IFEA.1.1.m.42880,GO:0005737
EFTU,GO:0003924
FKB14,GO:0005509
LNEBL,GO:0046872
ACT.1.1.m.53937,GO:0005737
TBA.1.1.m.57578,GO:0005525
EFCB6,GO:0005654
LRP5,GO:0002053
LYS3,GO:0005576
CO6A4.2.5.m.45361,GO:0005581
MATN1,GO:0005201
FAT4.1.1.m.34344,GO:0001736
MDHC,GO:0005829
MLE,GO:0016459
MYS.4.7.m.18188,GO:0005516
MYS.7.7.m.44342,GO:0005516
MYSP.1.9.m.1097,GO:0030016
MYSP.4.9.m.2302,GO:0030016
MYSP.8.9.m.44813,GO:0030016
MEP1A,GO:0008270
RS27A.1.1.m.22912,GO:0005634
CATL1,GO:0004197
PPIB.1.1.m.1745,GO:0003755
SNO1,GO:0005576
ACT.1.1.m.21817,GO:0005737
TGM1,GO:0005913
NPC2.5.7.m.30911,GO:0005764
NPC2.6.7.m.31030,GO:0005764
PABP4,GO:0003730
ACTM,GO:0005737
PCKG,GO:0005525
NFASC,GO:0005886
PGBM,GO:0001525
UNC22.2.7.m.2274,GO:0005516
UNC22.3.7.m.20773,GO:0005516
UNC22.5.7.m.43551,GO:0005516
UNC22.7.7.m.54053,GO:0005516
CNN3,GO:0005516
PIF,GO:0006030
PPIB.2.4.m.40019,GO:0005783
GSTA.2.2.m.34365,GO:0005737
PSA,GO:0005634
RSPH1,GO:0001520
RBBP4,GO:0000978
MUC1.1.2.m.4308,GO:0000978
RL10A,GO:0003723
RL18A.1.8.m.12900,GO:0002181
RL18A.6.8.m.61646,GO:0002181
RL23A,GO:0003735
RL9,GO:0003735
RLA1,GO:0005840
HEXP,GO:0005634
RS23,GO:0003735
RS3A,GO:0006412
RS4,GO:0005840
RS8,GO:0005840
SAHHA,GO:0006730
PP2AB,GO:0000775
ZASP.2.1.4.m.8660,GO:0001952
COR1B,GO:0005737
ZASP.1.1.m.927,GO:0001952
SPTCA,GO:0005509
ZAN,GO:0007339
TBA.1.6.m.12217,GO:0005525
TBA.5.6.m.37448,GO:0005525
TBA1,GO:0000235
TBA8,GO:0000278
TBA1A,GO:0000278
TBA3,GO:0000278
TBB.1.7.m.12262,GO:0005200
TBB.7.7.m.63980,GO:0005200
TCPD,GO:0005815
TCPH,GO:0005832
TEKT3.1.1.m.37281,GO:0002081
TEKT3.1.1.m.60031,GO:0002081
TEMPT.1.3.m.4934,GO:0005576
TITIN.6.19.m.31591,GO:0002020
TITIN.8.19.m.35861,GO:0001701
CEIP2,GO:0004415
ROAA,GO:0001837
TEMPT.4.4.m.44519,GO:0005576
COFI,GO:0005737
TYRO,GO:0016491
VATA,GO:0005765
DPGN,GO:0005576
XRN2,GO:0001147
2AAA,GO:0005737
TPD54,GO:0005737
RS27A.1.2.m.28362,GO:0005654
ACT.23.27.m.58454,GO:0005856
ACT.5.27.m.15585,GO:0005856
ACT.6.27.m.15622,GO:0005856
ACT3,GO:0005856
ACT3A,GO:0005856
NDUS6,GO:0006120
ACTN,GO:0051015
HTS.2.5.m.15081,GO:0005737
HTS.3.5.m.17639,GO:0005737
NDKB,GO:0003677
AGRIN,GO:0002162
KAD9.2.3.m.49697,GO:0005634
KAD9.3.3.m.63103,GO:0005634
ARP3,GO:0005634
ARPC2,GO:0005829
ATPB,GO:0015986
SVEP1,GO:0005737
MYCBP,GO:0005737
SSPO.2.5.m.17419,GO:0007399
PRDX5,GO:0005102
TEKT2,GO:0005815
UAP1,GO:0005829
POSTN,GO:0003073
MIEAP,GO:0006974
RS13,GO:0006412
CHIA,GO:0002532
C1QL4.2.13.m.10914,GO:0042802
CRB,GO:0005080
IF44L,GO:0006955
PACRG,GO:0005739
C1QL4.3.7.m.5968,GO:0042802
CALU,GO:0005789
CRNS1,GO:0006548
CATA.1.3.m.11120,GO:0006979
CATA.3.3.m.21642,GO:0006979
CALL,GO:0019722
CNDP2,GO:0005829
CO6A3.2.5.m.39533,GO:0005581
CO6A3.3.5.m.39796,GO:0005576
PDLI7,GO:0001726
TITIN.m.27774,GO:0002576
COX5B,GO:0006123
H2A,GO:0005634
RSSA,GO:0006412
FABP1.1.1.m.5763,GO:0016020
RAN,GO:0005634
ODP2,GO:0006096
DLDH,GO:0005634
DYH7.2.3.m.32353,GO:0005524
DYH5.1.2.m.56799,GO:0005874
DYH5.2.2.m.61452,GO:0005874
DYH6,GO:0005874
DYH7.2.2.m.46648,GO:0005509
GDIR1,GO:0005096
HSPB1,GO:0005737
PPIB.1.1.m.10086,GO:0005634
H2B7,GO:0005634
EXC4,GO:0005254
DYH1,GO:0005524
DYH2.1.1.m.28905,GO:0007018
DYHC,GO:0005737
EF1A.2.4.m.50858,GO:0005525
EF1A.1.3.m.30022,GO:0005525
EF2.4.5.m.30186,GO:0005525
EF2.5.5.m.39855,GO:0005525
ETIF1,GO:0006417
IF5A1,GO:0005789
ENO,GO:0004634
ERF3A,GO:0003747
FABP7,GO:0008289
FAS,GO:0004313
FLNA.2.6.m.11845,GO:0005829
FLNA.2.5.m.37450,GO:0003723
ARPC5,GO:0005737
GELS2,GO:0051015
BIP,GO:0016787
GSTO1,GO:0005829
HMCN1.19.44.m.39500,GO:0005604
HMCN1.23.44.m.42684,GO:0005576
HMCN1.28.44.m.47379,GO:0005576
TITIN.9.12.m.44986,GO:0002576
H90A1,GO:0005737
IDLC,GO:0005930
IF2A,GO:0005737
NDUS3,GO:0005747
ERP29,GO:0005788
ANM1,GO:0005654
KCY.1.1.m.29973,GO:0005524
RL402,GO:0005840
UNC89,GO:0005524
CO6A4.1.3.m.5994,GO:0007155
VATF,GO:0046961
MYDGF.1.1.m.22032,GO:0001938
KCY.1.1.m.2987,GO:0005524
RLA2.1.7.m.1896,GO:0006414
RLA2.4.7.m.28172,GO:0006414
RL6,GO:0002181
CFA45,GO:0005929
ASNS,GO:0005829
GLYC,GO:0006544
VWKA,GO:0004672
AN32A,GO:0005783
DYH10,GO:0005874
PPIB.1.1.m.55368,GO:0005634
ALRF2,GO:0005681
HYDIN.2.6.m.7640,GO:0021591
HYDIN.4.6.m.27594,GO:0021591
YD541,GO:0033721
HPGDS,GO:0004364
RS12,GO:0006412
TEKT1,GO:0005874
SPTCB,GO:0005516
SPTN5,GO:0005088
PMFBP.1.2.m.13657,GO:0007283
PMFBP.2.2.m.43339,GO:0007283
CFA61,GO:0031514
CO6A3.5.9.m.39538,GO:0005576
CO6A4.6.9.m.44250,GO:0007155
SSPO.3.8.m.32060,GO:0007399
SSPO.6.8.m.41866,GO:0007399
SSPO.7.8.m.41875,GO:0007399
CALR,GO:0016529
IFEA.2.3.m.44496,GO:0005882
FABP1.2.2.m.52097,GO:0016020
CO6A3.1.1.m.64152,GO:0005581
BP10,GO:0005938
ITIH4,GO:0006953
DMBT1,GO:0005044
FAT4.1.1.m.65727,GO:0001822
AL7A1,GO:0005739
CO6A3.1.2.m.17960,GO:0005581
CAP1.1.2.m.7245,GO:0005886
CAP1.2.2.m.45011,GO:0005886
MSRB2,GO:0030041
PAIRB,GO:0005737
TXD17,GO:0033209
SKP1,GO:0019005
LAMA,GO:0007411
ACTB3,GO:0005737
L2EFL,GO:0010998
H4,GO:0005634
MUC1.1.2.m.17333,GO:0002039
MYDGF.1.2.m.6533,GO:0001938
VWDE.3.3.m.29759,GO:0009986
ATPD,GO:0005740
PPIA,GO:0006457
CO6A3.2.4.m.33982,GO:0005581
DYH2.1.2.m.24785,GO:0007018
TTC25,GO:0032474
TBA.2.2.m.57790,GO:0005737
AMY1,GO:0005615
IFEA.1.1.m.42880,GO:0005882
EFTU,GO:0005525
FKB14,GO:0005788
LNEBL,GO:0048747
ACT.1.1.m.53937,GO:0005856
TBA.1.1.m.57578,GO:0005737
LRP5,GO:0002076
LYS3,GO:0008152
CO6A4.2.5.m.45361,GO:0007155
MATN1,GO:0005509
FAT4.1.1.m.34344,GO:0001822
MDHC,GO:0005975
MYS.4.7.m.18188,GO:0005524
MYS.7.7.m.44342,GO:0005524
MYSP.1.9.m.1097,GO:0032982
MYSP.4.9.m.2302,GO:0032982
MYSP.8.9.m.44813,GO:0032982
MEP1A,GO:0016020
RS27A.1.1.m.22912,GO:0005654
CATL1,GO:0005615
PPIB.1.1.m.1745,GO:0005788
SNO1,GO:0009820
ACT.1.1.m.21817,GO:0005856
TGM1,GO:0009887
NPC2.5.7.m.30911,GO:0005783
NPC2.6.7.m.31030,GO:0005783
PABP4,GO:0005634
ACTM,GO:0005856
PCKG,GO:0006094
NFASC,GO:0005918
PGBM,GO:0001540
UNC22.2.7.m.2274,GO:0005524
UNC22.3.7.m.20773,GO:0005524
UNC22.5.7.m.43551,GO:0005524
UNC22.7.7.m.54053,GO:0005524
CNN3,GO:0005829
PIF,GO:0008061
PPIB.2.4.m.40019,GO:0005788
PSA,GO:0005737
RSPH1,GO:0005737
RBBP4,GO:0005634
MUC1.1.2.m.4308,GO:0002039
RL10A,GO:0003735
RL18A.1.8.m.12900,GO:0003723
RL18A.6.8.m.61646,GO:0003723
RL23A,GO:0005634
RL9,GO:0019843
RLA1,GO:0006414
HEXP,GO:0008270
RS23,GO:0005791
RS3A,GO:0022627
RS4,GO:0006412
RS8,GO:0006412
SAHHA,GO:0019510
PP2AB,GO:0000922
ZASP.2.1.4.m.8660,GO:0003779
COR1B,GO:0005829
ZASP.1.1.m.927,GO:0003779
SPTCA,GO:0005516
ZAN,GO:0016021
TBA.1.6.m.12217,GO:0005737
TBA.5.6.m.37448,GO:0005737
TBA1,GO:0000278
TBA8,GO:0003924
TBA1A,GO:0003924
TBA3,GO:0003924
TBB.1.7.m.12262,GO:0005525
TBB.7.7.m.63980,GO:0005525
TCPD,GO:0005832
TCPH,GO:0006457
TEKT3.1.1.m.37281,GO:0030317
TEKT3.1.1.m.60031,GO:0030317
TITIN.6.19.m.31591,GO:0002576
TITIN.8.19.m.35861,GO:0001756
CEIP2,GO:0005509
ROAA,GO:0003723
COFI,GO:0007049
TYRO,GO:0046872
VATA,GO:0005774
DPGN,GO:0050819
XRN2,GO:0004534
2AAA,GO:0006470
TPD54,GO:0042127
RS27A.1.2.m.28362,GO:0005737
NDUS6,GO:0006631
ACTN,GO:0051017
HTS.2.5.m.15081,GO:0005856
HTS.3.5.m.17639,GO:0005856
NDKB,GO:0003713
AGRIN,GO:0005509
KAD9.2.3.m.49697,GO:0005654
KAD9.3.3.m.63103,GO:0005654
ARP3,GO:0005737
ARPC2,GO:0005885
ATPB,GO:0045261
SVEP1,GO:0007155
MYCBP,GO:0005739
SSPO.2.5.m.17419,GO:0030154
PRDX5,GO:0005615
TEKT2,GO:0005874
UAP1,GO:0005886
POSTN,GO:0005201
MIEAP,GO:0035694
RS13,GO:0022627
CHIA,GO:0004568
C1QL4.2.13.m.10914,GO:0045599
CRB,GO:0005509
IF44L,GO:0051607
PACRG,GO:0005829
C1QL4.3.7.m.5968,GO:0045599
CALU,GO:0005794
CRNS1,GO:0010181
CATA.1.3.m.11120,GO:0020037
CATA.3.3.m.21642,GO:0020037
CALL,GO:0051300
CNDP2,GO:0006508
CO6A3.2.5.m.39533,GO:0005615
CO6A3.3.5.m.39796,GO:0005589
PDLI7,GO:0005634
TITIN.m.27774,GO:0003300
COX5B,GO:0042776
H2A,GO:0042742
RSSA,GO:0022627
RAN,GO:0006913
ODP2,GO:0045254
DLDH,GO:0005739
DYH7.2.3.m.32353,GO:0005874
DYH5.1.2.m.56799,GO:0005930
DYH5.2.2.m.61452,GO:0005930
DYH6,GO:0007018
DYH7.2.2.m.46648,GO:0005524
GDIR1,GO:0005634
HSPB1,GO:0005819
PPIB.1.1.m.10086,GO:0005788
H2B7,GO:0006334
EXC4,GO:0005634
DYH1,GO:0005874
DYH2.1.1.m.28905,GO:0008569
DYHC,GO:0005874
EF1A.2.4.m.50858,GO:0005737
EF1A.1.3.m.30022,GO:0005737
EF2.4.5.m.30186,GO:0005829
EF2.5.5.m.39855,GO:0005829
ETIF1,GO:0016282
IF5A1,GO:0006452
ENO,GO:0006096
ERF3A,GO:0003924
FABP7,GO:0021846
FAS,GO:0004314
FLNA.2.6.m.11845,GO:0005886
FLNA.2.5.m.37450,GO:0005576
ARPC5,GO:0005768
GELS2,GO:0051693
GSTO1,GO:0010880
HMCN1.19.44.m.39500,GO:0005913
HMCN1.23.44.m.42684,GO:0005604
HMCN1.28.44.m.47379,GO:0005604
TITIN.9.12.m.44986,GO:0003300
H90A1,GO:0005829
IDLC,GO:0030175
IF2A,GO:0005850
NDUS3,GO:0005759
ERP29,GO:0009306
ANM1,GO:0005737
KCY.1.1.m.29973,GO:0005634
RL402,GO:0006412
UNC89,GO:0010628
CO6A4.1.3.m.5994,GO:0030020
MYDGF.1.1.m.22032,GO:0005576
KCY.1.1.m.2987,GO:0005634
RL6,GO:0003723
ASNS,GO:0006541
GLYC,GO:0006563
VWKA,GO:0004674
AN32A,GO:0006913
DYH10,GO:0005929
PPIB.1.1.m.55368,GO:0005788
ALRF2,GO:0005737
HYDIN.2.6.m.7640,GO:0060438
HYDIN.4.6.m.27594,GO:0060438
YD541,GO:0050662
HPGDS,GO:0004667
RS12,GO:0022627
TEKT1,GO:0030317
SPTCB,GO:0005546
SPTN5,GO:0005737
PMFBP.1.2.m.13657,GO:0097224
PMFBP.2.2.m.43339,GO:0097224
CFA61,GO:0044782
CO6A3.5.9.m.39538,GO:0005589
CO6A4.6.9.m.44250,GO:0030020
SSPO.3.8.m.32060,GO:0030154
SSPO.6.8.m.41866,GO:0030154
SSPO.7.8.m.41875,GO:0030154
CALR,GO:0030246
CO6A3.1.1.m.64152,GO:0005615
BP10,GO:0008270
ITIH4,GO:0030212
DMBT1,GO:0005576
FAT4.1.1.m.65727,GO:0003007
AL7A1,GO:0005829
CO6A3.1.2.m.17960,GO:0005615
CAP1.1.2.m.7245,GO:0030036
CAP1.2.2.m.45011,GO:0030036
MSRB2,GO:0030091
PAIRB,GO:0005829
TXD17,GO:0047134
SKP1,GO:0031146
LAMA,GO:0007498
ACTB3,GO:0005856
L2EFL,GO:0030018
H4,GO:0006334
MUC1.1.2.m.17333,GO:0002223
MYDGF.1.2.m.6533,GO:0005576
VWDE.3.3.m.29759,GO:0048856
ATPD,GO:0005743
CO6A3.2.4.m.33982,GO:0005615
DYH2.1.2.m.24785,GO:0008569
TTC25,GO:0042995
TBA.2.2.m.57790,GO:0005874
AMY1,GO:0009617
EFTU,GO:0005739
LNEBL,GO:0051015
TBA.1.1.m.57578,GO:0005874
LRP5,GO:0005783
LYS3,GO:0019835
CO6A4.2.5.m.45361,GO:0030020
MATN1,GO:0005576
FAT4.1.1.m.34344,GO:0003007
MDHC,GO:0006099
