"","correlation","t-stat","p-value","FDR"
"CHOYP_STRN-MLCK.2.3m.9348",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_NEMVEDRAFT_V1G214844.29.34m.57719",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_LOC590568.2.4m.38593",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_MEG11.15.25m.46952",0.28868,1.3143,0.20441,0.72191
"CHOYP_HAAF.3.13m.8849",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_EIN_155680.4.6m.52358",0.28868,1.3143,0.20441,0.72191
"CHOYP_RS4.10.11m.60432",0.28868,1.3143,0.20441,0.72191
"CHOYP_contig_039741m.44927",0.28868,1.3143,0.20441,0.72191
"CHOYP_DPSE_GA28568.4.9m.21893",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_BRAFLDRAFT_71629.1.1m.65970",-0.28868,-1.3143,0.20441,0.72191
"CHOYP_contig_028227m.32131",0.28868,1.3143,0.20441,0.72191
"CHOYP_EXOS9.1.1m.12468",0.28854,1.3136,0.20462,0.72207
"CHOYP_RFC2.1.2m.12862",-0.28854,-1.3136,0.20462,0.72207
"CHOYP_DUOX1.1.4m.14284",0.28833,1.3125,0.20498,0.72256
"CHOYP_PCCB.1.2m.3058",0.28811,1.3114,0.20534,0.72256
"CHOYP_RS23.4.9m.24810",0.28804,1.3111,0.20546,0.72256
"CHOYP_PLEKHA1.2.2m.21816",0.28803,1.311,0.20547,0.72256
"CHOYP_RN213.4.13m.27716",-0.28802,-1.311,0.20548,0.72256
"CHOYP_ARMC6.1.1m.28786",-0.28801,-1.311,0.2055,0.72256
"CHOYP_GMPAA.1.1m.1432",0.28801,1.311,0.2055,0.72256
"CHOYP_LOC100376733.1.1m.12140",0.28798,1.3108,0.20554,0.72256
"CHOYP_BRD8.1.1m.244",0.28798,1.3108,0.20554,0.72256
"CHOYP_ARHG7.3.5m.37182",0.28784,1.3101,0.20578,0.72263
"CHOYP_GCST.1.1m.16047",0.28782,1.31,0.2058,0.72263
"CHOYP_RL10.1.3m.11695",0.28781,1.31,0.20582,0.72263
"CHOYP_LOC100374808.1.1m.29300",0.28752,1.3085,0.20631,0.72404
"CHOYP_LOC100644321.3.7m.24037",0.28737,1.3078,0.20654,0.72449
"CHOYP_BRAFLDRAFT_92601.1.1m.56157",0.28733,1.3076,0.20661,0.72449
"CHOYP_AGAP_AGAP008046.1.1m.58394",0.28727,1.3073,0.20672,0.72457
"CHOYP_MEC2.3.4m.30735",0.28687,1.3053,0.20738,0.72655
"CHOYP_FKBP4.1.1m.15147",0.28677,1.3048,0.20754,0.72684
"CHOYP_PHUM_PHUM616130.1.1m.47653",0.28625,1.3022,0.2084,0.729
"CHOYP_BRAFLDRAFT_217332.2.2m.51240",0.28625,1.3022,0.2084,0.729
"CHOYP_FKBP1AA.1.1m.26101",0.28624,1.3022,0.20842,0.729
"CHOYP_PDCL3.1.1m.7323",0.28611,1.3015,0.20864,0.72947
"CHOYP_EXOS3.1.1m.10596",-0.28577,-1.2999,0.2092,0.73074
"CHOYP_WNK2.1.2m.38552",-0.28571,-1.2996,0.2093,0.73074
"CHOYP_BRAFLDRAFT_258021.1.1m.6099",-0.28571,-1.2996,0.2093,0.73074
"CHOYP_BRAFLDRAFT_99018.1.1m.14650",0.28568,1.2994,0.20936,0.73074
"CHOYP_LOC100560768.1.1m.18804",-0.28554,-1.2987,0.20959,0.73117
"CHOYP_RPB1.1.1m.36612",0.2855,1.2985,0.20966,0.73117
"CHOYP_BRAFLDRAFT_124536.1.2m.10835",-0.28496,-1.2958,0.21055,0.73363
"CHOYP_LOC100708991.5.5m.59991",0.28494,1.2957,0.21059,0.73363
"CHOYP_ARHGAP12B.1.2m.36731",0.28492,1.2956,0.21063,0.73363
"CHOYP_contig_023673m.26924",0.28463,1.2942,0.21111,0.73485
"CHOYP_LEMD3.1.1m.56975",0.2846,1.2941,0.21115,0.73485
"CHOYP_LOC100705726.1.1m.17900",0.28443,1.2932,0.21144,0.73489
"CHOYP_SGPL1.1.1m.42223",-0.28443,-1.2932,0.21144,0.73489
"CHOYP_ISCW_ISCW010532.1.4m.11493",0.28435,1.2928,0.21158,0.73489
"CHOYP_LOC100377173.1.2m.37698",-0.28424,-1.2923,0.21176,0.73489
"CHOYP_TOL2_C08810.1.1m.6377",-0.28415,-1.2918,0.21191,0.73489
"CHOYP_FL2D.1.1m.62439",0.28415,1.2918,0.21191,0.73489
"CHOYP_contig_041293m.47088",-0.28412,-1.2917,0.21195,0.73489
"CHOYP_MA1B1.1.1m.22675",-0.28412,-1.2917,0.21196,0.73489
"CHOYP_RER1.1.1m.49089",-0.28412,-1.2917,0.21196,0.73489
"CHOYP_K1609.1.1m.17775",0.28368,1.2895,0.21271,0.73616
"CHOYP_LOC100710612.1.1m.5449",0.28365,1.2894,0.21275,0.73616
"CHOYP_LOC100367006.2.2m.17211",0.28364,1.2893,0.21276,0.73616
"CHOYP_LOC100370537.1.1m.10589",0.28364,1.2893,0.21276,0.73616
"CHOYP_HSPA12A.10.27m.35252",0.28364,1.2893,0.21276,0.73616
"CHOYP_LOC100879129.1.1m.44467",0.28355,1.2889,0.21291,0.73637
"CHOYP_LOC100370896.4.4m.56380",0.28349,1.2886,0.21301,0.73641
"CHOYP_PHUM_PHUM544530.1.1m.38469",0.28318,1.287,0.21355,0.73779
"CHOYP_ZNF259.1.1m.10424",0.2831,1.2866,0.21367,0.73779
"CHOYP_VATE.1.1m.21420",0.2831,1.2866,0.21368,0.73779
"CHOYP_LOC100313691.1.1m.290",0.28296,1.286,0.21391,0.738
"CHOYP_PNCB.1.1m.57201",-0.28296,-1.2859,0.21392,0.738
"CHOYP_BRAFLDRAFT_215361.1.1m.55455",0.28288,1.2856,0.21404,0.73814
"CHOYP_LOC576660.1.1m.33760",-0.28241,-1.2832,0.21485,0.74059
"CHOYP_LOC662543.1.1m.39811",-0.2821,-1.2817,0.21537,0.74108
"CHOYP_contig_051254m.61185",-0.28204,-1.2814,0.21547,0.74108
"CHOYP_TONSL.1.1m.18360",-0.28203,-1.2813,0.21549,0.74108
"CHOYP_SORL.3.3m.58779",-0.28202,-1.2813,0.2155,0.74108
"CHOYP_SF3B5.1.1m.12205",-0.28192,-1.2808,0.21568,0.74108
"CHOYP_LOC100376162.1.1m.48261",-0.2819,-1.2807,0.2157,0.74108
"CHOYP_MYS.2.7m.2070",0.2819,1.2807,0.2157,0.74108
"CHOYP_ATS20.2.2m.52571",0.2818,1.2802,0.21588,0.74108
"CHOYP_RALA.1.4m.8443",0.2818,1.2802,0.21588,0.74108
"CHOYP_LOC100373444.7.79m.3209",0.2818,1.2802,0.21588,0.74108
"CHOYP_LOC100207121.5.9m.48175",0.28175,1.28,0.21597,0.74109
"CHOYP_GSTS8.1.1m.12434",0.28159,1.2792,0.21623,0.74168
"CHOYP_LOC101069759.1.1m.40708",0.28143,1.2784,0.2165,0.74231
"CHOYP_BRAFLDRAFT_276226.2.2m.64449",-0.28131,-1.2778,0.21671,0.74274
"CHOYP_LOC100694648.1.1m.18881",-0.28115,-1.277,0.21698,0.74321
"CHOYP_NUP153.1.1m.34857",0.28112,1.2769,0.21703,0.74321
"CHOYP_SI_DKEY-5N18.1.1.2m.5489",-0.28101,-1.2763,0.21723,0.74359
"CHOYP_contig_037785m.42603",-0.28063,-1.2745,0.21787,0.74437
"CHOYP_PHUM_PHUM317840.1.2m.29476",-0.28053,-1.274,0.21804,0.74437
"CHOYP_LOC100374249.1.1m.58297",-0.28053,-1.274,0.21804,0.74437
"CHOYP_BRAFLDRAFT_287444.3.5m.17688",0.28052,1.2739,0.21805,0.74437
"CHOYP_HSPA12A.21.27m.57005",0.28051,1.2739,0.21807,0.74437
"CHOYP_AAEL_AAEL003539.1.1m.16619",0.28051,1.2739,0.21807,0.74437
"CHOYP_PTCD3.1.1m.24655",-0.28031,-1.2729,0.21843,0.74437
"CHOYP_CG057.1.1m.45912",-0.28031,-1.2729,0.21843,0.74437
"CHOYP_LOC662320.2.2m.19454",-0.28031,-1.2729,0.21843,0.74437
"CHOYP_FAAA.1.1m.7653",0.2803,1.2728,0.21844,0.74437
"CHOYP_PAN2.1.1m.44691",0.28024,1.2725,0.21854,0.74437
"CHOYP_LOC100378644.2.2m.58497",0.28021,1.2724,0.21859,0.74437
"CHOYP_BRAFLDRAFT_91321.7.10m.56158",-0.28003,-1.2715,0.2189,0.74437
"CHOYP_HAAF.11.13m.44366",-0.27993,-1.271,0.21908,0.74437
"CHOYP_LOC100703289.1.1m.53585",0.27985,1.2706,0.21921,0.74437
"CHOYP_LOC100375230.1.1m.52612",-0.27951,-1.2689,0.21979,0.74437
"CHOYP_LOC100866180.1.1m.49582",-0.2795,-1.2689,0.21981,0.74437
"CHOYP_RL22.4.4m.37418",0.27933,1.268,0.2201,0.74437
"CHOYP_LOC100369014.8.9m.53287",0.27922,1.2675,0.22029,0.74437
"CHOYP_EF2.5.5m.39855",-0.27922,-1.2675,0.22029,0.74437
"CHOYP_ML12B.1.1m.27220",0.27915,1.2671,0.22042,0.74437
"CHOYP_LOC100181350.1.1m.2782",-0.279,-1.2664,0.22067,0.74437
"CHOYP_AUHM.1.2m.28847",-0.279,-1.2664,0.22067,0.74437
"CHOYP_LOC100708991.3.5m.40072",0.27898,1.2663,0.2207,0.74437
"CHOYP_LOC101234062.1.1m.27366",0.27896,1.2662,0.22074,0.74437
"CHOYP_SMP_137640.1.2m.40559",0.27892,1.266,0.22081,0.74437
"CHOYP_LOC100533384.3.5m.37350",0.27869,1.2649,0.22121,0.74437
"CHOYP_TRIADDRAFT_63204.2.2m.38038",0.27864,1.2646,0.22129,0.74437
"CHOYP_LOC100634556.1.1m.45015",0.27864,1.2646,0.22129,0.74437
"CHOYP_ISCW_ISCW011341.1.1m.18728",-0.27864,-1.2646,0.2213,0.74437
"CHOYP_PIPNA.1.1m.37750",0.27859,1.2644,0.22138,0.74437
"CHOYP_LOC100650648.1.2m.24726",-0.27856,-1.2642,0.22143,0.74437
"CHOYP_BRAFLDRAFT_264316.1.1m.29655",-0.27832,-1.2631,0.22185,0.74437
"CHOYP_VASP.1.1m.15245",0.27817,1.2624,0.2221,0.74437
"CHOYP_LOC100371085.1.1m.44789",-0.27815,-1.2622,0.22214,0.74437
"CHOYP_contig_024046m.27342",-0.27815,-1.2622,0.22214,0.74437
"CHOYP_contig_052416m.62821",0.27801,1.2615,0.22238,0.74437
"CHOYP_LOC762871.1.1m.37896",0.27777,1.2604,0.22279,0.74437
"CHOYP_VTA1.1.1m.36056",0.27777,1.2604,0.22279,0.74437
"CHOYP_TT30A.1.1m.28332",0.27754,1.2592,0.2232,0.74437
"CHOYP_NEMVEDRAFT_V1G957.1.1m.27284",0.27754,1.2592,0.2232,0.74437
"CHOYP_MYS.7.7m.44341",0.27754,1.2592,0.2232,0.74437
"CHOYP_GNAQ.1.1m.20698",-0.27742,-1.2586,0.22341,0.74437
"CHOYP_LOC100369620.1.1m.13590",0.27735,1.2583,0.22352,0.74437
"CHOYP_SIRT1.1.1m.9844",0.27735,1.2583,0.22352,0.74437
"CHOYP_contig_037038m.41727",0.27735,1.2583,0.22352,0.74437
"CHOYP_BRAFLDRAFT_230143.1.1m.15015",0.27735,1.2583,0.22352,0.74437
"CHOYP_ATRX.1.1m.14705",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_ARIP4.3.3m.33366",0.27735,1.2583,0.22352,0.74437
"CHOYP_CP3AB.4.4m.47872",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_DYH8.2.2m.45091",0.27735,1.2583,0.22352,0.74437
"CHOYP_PO2F1.1.1m.11428",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_HTF4.1.5m.16262",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_EVI1.1.1m.62064",0.27735,1.2583,0.22352,0.74437
"CHOYP_BRAFLDRAFT_68488.1.1m.58466",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_LOC100366932.1.1m.36598",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_NEMF.1.1m.57807",0.27735,1.2583,0.22352,0.74437
"CHOYP_CDO1.1.4m.26663",0.27735,1.2583,0.22352,0.74437
"CHOYP_FAIM1.1.1m.36651",0.27735,1.2583,0.22352,0.74437
"CHOYP_WNT7B.1.2m.36042",0.27735,1.2583,0.22352,0.74437
"CHOYP_GSTUL.1.1m.35986",0.27735,1.2583,0.22352,0.74437
"CHOYP_LOC100870649.1.2m.13573",0.27735,1.2583,0.22352,0.74437
"CHOYP_PHUM_PHUM470230.1.1m.29432",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_ISCW_ISCW001190.1.1m.26579",0.27735,1.2583,0.22352,0.74437
"CHOYP_BRAFLDRAFT_86827.3.4m.27276",0.27735,1.2583,0.22352,0.74437
"CHOYP_contig_048706m.57793",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_BRAFLDRAFT_63199.1.5m.9045",-0.27735,-1.2583,0.22352,0.74437
"CHOYP_contig_047569m.56118",0.27735,1.2583,0.22352,0.74437
"CHOYP_LOC100375314.1.1m.19446",0.27713,1.2572,0.22391,0.74534
"CHOYP_BRAFLDRAFT_86846.3.3m.53453",0.27696,1.2564,0.22421,0.74604
"CHOYP_AGAP_AGAP004885.1.1m.29831",0.27691,1.2561,0.22429,0.74604
"CHOYP_LOC100904232.1.1m.38777",0.27654,1.2543,0.22494,0.74772
"CHOYP_LOC100371354.1.1m.47130",0.27641,1.2537,0.22517,0.74772
"CHOYP_contig_016628m.19586",-0.27633,-1.2533,0.22529,0.74772
"CHOYP_CYIIB.2.2m.64544",0.27633,1.2533,0.2253,0.74772
"CHOYP_BRAFLDRAFT_74879.3.6m.24658",-0.2761,-1.2522,0.2257,0.74772
"CHOYP_VPRBP.1.1m.15849",-0.27608,-1.2521,0.22574,0.74772
"CHOYP_LOC100373578.1.1m.478",-0.27608,-1.2521,0.22574,0.74772
"CHOYP_LOC100692402.2.2m.49856",-0.27608,-1.2521,0.22574,0.74772
"CHOYP_RL39.2.2m.64898",-0.27608,-1.2521,0.22574,0.74772
"CHOYP_BRAFLDRAFT_108792.2.5m.31493",-0.27608,-1.2521,0.22574,0.74772
"CHOYP_LOC100377200.1.2m.19811",0.27605,1.2519,0.22579,0.74772
"CHOYP_contig_004594m.5279",-0.27599,-1.2516,0.22589,0.74777
"CHOYP_BRAFLDRAFT_127100.2.2m.42594",0.27566,1.25,0.22647,0.7494
"CHOYP_LOC575893.1.1m.62614",0.27539,1.2487,0.22695,0.75067
"CHOYP_BRAFLDRAFT_129885.1.2m.24564",0.2753,1.2483,0.2271,0.75089
"CHOYP_ABCF2.1.2m.28360",-0.27483,-1.2459,0.22794,0.75305
"CHOYP_BRAFLDRAFT_282200.1.1m.18115",0.27481,1.2459,0.22796,0.75305
"CHOYP_LOC100376067.3.3m.62990",0.27476,1.2456,0.22805,0.75305
"CHOYP_DP13A.2.3m.10746",0.27469,1.2453,0.22817,0.75305
"CHOYP_NAGLU.2.2m.60267",-0.27467,-1.2451,0.22822,0.75305
"CHOYP_POLD1.1.1m.61169",-0.27462,-1.2449,0.2283,0.75305
"CHOYP_LOC585158.1.2m.18137",-0.27451,-1.2444,0.22849,0.75317
"CHOYP_BRAFLDRAFT_117612.1.1m.28286",0.27444,1.244,0.22863,0.75317
"CHOYP_STK17A.1.1m.24446",0.27443,1.244,0.22863,0.75317
"CHOYP_NEMVEDRAFT_V1G233709.8.13m.55781",0.2744,1.2438,0.2287,0.75317
"CHOYP_BICD2.1.1m.9177",-0.2743,-1.2433,0.22886,0.75343
"CHOYP_HS74L.1.1m.24610",0.27423,1.243,0.22899,0.75356
"CHOYP_ANR40.1.1m.1429",0.27414,1.2425,0.22916,0.75364
"CHOYP_RAB1A.1.3m.10036",0.27411,1.2424,0.2292,0.75364
"CHOYP_LOC100533357.1.2m.56848",0.27405,1.2421,0.22931,0.75369
"CHOYP_RGN.1.1m.30406",-0.27396,-1.2417,0.22946,0.7539
"CHOYP_CI064.1.1m.9517",-0.27359,-1.2398,0.23013,0.7558
"CHOYP_AAEL_AAEL010939.1.1m.64870",-0.27348,-1.2393,0.23032,0.75596
"CHOYP_contig_053582m.64175",0.27346,1.2392,0.23036,0.75596
"CHOYP_LOC101161976.1.1m.43986",0.27328,1.2383,0.23068,0.75672
"CHOYP_CH60.1.1m.26967",0.27306,1.2372,0.23107,0.75752
"CHOYP_contig_025032m.28479",0.27304,1.2371,0.23111,0.75752
"CHOYP_STRUM.1.1m.42335",-0.27281,-1.236,0.23152,0.75856
"CHOYP_PHUM_PHUM226120.2.7m.2274",-0.2725,-1.2345,0.23205,0.76
"CHOYP_LOC100533450.1.1m.54334",0.27246,1.2343,0.23214,0.76
"CHOYP_ZCCHC8.1.1m.18098",-0.27227,-1.2334,0.23247,0.7608
"CHOYP_NEMVEDRAFT_V1G120526.4.5m.36926",-0.27196,-1.2319,0.23303,0.76232
"CHOYP_BRAFLDRAFT_113534.1.1m.10828",0.2717,1.2306,0.2335,0.76351
"CHOYP_LOC100564354.1.1m.46361",-0.27165,-1.2304,0.23357,0.76351
"CHOYP_ARPC4.2.2m.35677",0.27156,1.2299,0.23373,0.76372
"CHOYP_LOC100370705.2.2m.55449",0.27151,1.2297,0.23382,0.76372
"CHOYP_TRIADDRAFT_64314.2.2m.54695",0.27146,1.2294,0.23391,0.76372
"CHOYP_LOC100186070.1.1m.3415",0.27133,1.2288,0.23415,0.7642
"CHOYP_BRAFLDRAFT_128799.1.1m.29183",-0.27084,-1.2264,0.23503,0.76651
"CHOYP_LOC100370154.1.2m.27385",-0.27083,-1.2264,0.23504,0.76651
"CHOYP_contig_005583m.6332",0.27068,1.2256,0.23533,0.76708
"CHOYP_BRAFLDRAFT_73177.1.1m.61488",0.27063,1.2254,0.2354,0.76708
"CHOYP_LOC373275.4.7m.47547",0.27057,1.2251,0.23551,0.76709
"CHOYP_BRAFLDRAFT_90098.1.4m.3841",-0.27052,-1.2249,0.2356,0.76709
"CHOYP_LOC100367205.1.1m.24472",-0.27048,-1.2246,0.23568,0.76709
"CHOYP_BRAFLDRAFT_275517.1.1m.9720",-0.27039,-1.2242,0.23583,0.76728
"CHOYP_LOC100368866.1.1m.6804",0.27027,1.2236,0.23606,0.76773
"CHOYP_LOC100114171.1.1m.50280",0.27017,1.2231,0.23623,0.76783
"CHOYP_CPIPJ_CPIJ016910.1.1m.62713",-0.27015,-1.223,0.23628,0.76783
"CHOYP_BRAFLDRAFT_80064.1.1m.40175",-0.26997,-1.2222,0.23659,0.76854
"CHOYP_LOC592825.1.1m.43751",0.2699,1.2218,0.23673,0.76859
"CHOYP_LOC100072802.1.1m.27280",-0.26986,-1.2216,0.23679,0.76859
"CHOYP_RSU1.1.1m.44138",0.26976,1.2211,0.23697,0.76888
"CHOYP_TIMP3.5.9m.39776",0.26971,1.2209,0.23706,0.76888
"CHOYP_LOC101065695.1.1m.13611",0.26944,1.2196,0.23755,0.77007
"CHOYP_contig_038218m.43194",-0.26941,-1.2194,0.23761,0.77007
"CHOYP_PSB1.2.2m.63827",0.26932,1.219,0.23777,0.77029
"CHOYP_ECM29.1.1m.48083",-0.2692,-1.2184,0.23799,0.77068
"CHOYP_PB1.2.6m.11467",0.26906,1.2177,0.23824,0.77068
"CHOYP_BRAFLDRAFT_66627.1.1m.40620",0.26899,1.2174,0.23836,0.77068
"CHOYP_DPSE_GA10675.1.1m.23860",0.26891,1.217,0.23852,0.77068
"CHOYP_LOC101155522.1.1m.45101",0.26889,1.2169,0.23854,0.77068
"CHOYP_GSTP1.1.2m.29677",0.2688,1.2165,0.23871,0.77068
"CHOYP_PARP16.1.1m.1294",-0.2688,-1.2165,0.23871,0.77068
"CHOYP_LOC578284.1.1m.30567",0.26879,1.2164,0.23872,0.77068
"CHOYP_IFIH1.3.14m.24387",-0.26879,-1.2164,0.23872,0.77068
"CHOYP_BRAFLDRAFT_208436.25.32m.60144",-0.26861,-1.2155,0.23906,0.77126
"CHOYP_LOC584665.1.1m.28760",0.26851,1.215,0.23923,0.77126
"CHOYP_LOC100121425.1.1m.10532",-0.26851,-1.215,0.23923,0.77126
"CHOYP_contig_044692m.51797",-0.26849,-1.2149,0.23927,0.77126
"CHOYP_BRAFLDRAFT_117858.3.3m.61651",-0.26829,-1.214,0.23964,0.77214
"CHOYP_CRYZ.2.2m.65927",0.26815,1.2133,0.23989,0.77255
"CHOYP_BRAFLDRAFT_120923.3.3m.58916",0.2681,1.213,0.23999,0.77255
"CHOYP_UBS3B.1.1m.43636",0.26804,1.2128,0.24009,0.77255
"CHOYP_PSTA.1.2m.4739",0.26799,1.2125,0.24019,0.77255
"CHOYP_GTPB1.1.1m.66453",-0.26797,-1.2124,0.24023,0.77255
"CHOYP_LOC100123075.1.1m.8128",-0.26786,-1.2119,0.24042,0.77258
"CHOYP_LOC100493600.1.1m.58682",-0.26786,-1.2119,0.24042,0.77258
"CHOYP_LOC100533283.1.1m.54357",0.26761,1.2107,0.24087,0.77371
"CHOYP_DNPH1.1.1m.28418",0.26749,1.21,0.2411,0.77416
"CHOYP_BRAFLDRAFT_278091.1.1m.7340",-0.26736,-1.2094,0.24134,0.77463
"CHOYP_BRAFLDRAFT_219059.1.1m.40577",0.26718,1.2086,0.24166,0.77535
"CHOYP_XDH.1.3m.46824",-0.26713,-1.2083,0.24176,0.77538
"CHOYP_SDR16C5.1.1m.7423",-0.26706,-1.208,0.24188,0.77546
"CHOYP_LOC100373444.8.79m.3255",0.26689,1.2071,0.24219,0.77617
"CHOYP_DHE4.1.1m.48536",0.26643,1.2049,0.24303,0.77845
"CHOYP_BRAFLDRAFT_115113.1.2m.31023",0.2664,1.2048,0.24309,0.77845
"CHOYP_MORC2.1.1m.6240",0.26589,1.2023,0.24404,0.78058
"CHOYP_LMNB2.1.1m.55999",0.26576,1.2016,0.24427,0.78058
"CHOYP_BRAFLDRAFT_203026.1.1m.61263",0.26576,1.2016,0.24428,0.78058
"CHOYP_EF2.4.5m.30186",0.26574,1.2015,0.24431,0.78058
"CHOYP_ISCW_ISCW012010.1.1m.27251",0.26572,1.2015,0.24434,0.78058
"CHOYP_LOC100556517.1.1m.22221",0.26568,1.2013,0.24441,0.78058
"CHOYP_contig_041554m.47492",0.26568,1.2013,0.24441,0.78058
"CHOYP_LOC100370218.1.1m.36701",0.2654,1.1999,0.24494,0.78181
"CHOYP_BRAFLDRAFT_68004.1.1m.24323",0.26537,1.1997,0.24498,0.78181
"CHOYP_LOC663261.1.1m.21784",-0.26524,-1.1991,0.24524,0.78202
"CHOYP_PPIH.1.1m.18923",0.26524,1.1991,0.24524,0.78202
"CHOYP_LOC100181159.1.1m.6127",0.26513,1.1986,0.24543,0.78233
"CHOYP_LOC100693702.1.1m.8794",-0.26458,-1.1959,0.24646,0.78442
"CHOYP_CPIB.3.3m.46138",-0.26458,-1.1959,0.24646,0.78442
"CHOYP_LOC100120440.1.1m.15371",0.26458,1.1959,0.24646,0.78442
"CHOYP_BRAFLDRAFT_67911.1.1m.4174",-0.26458,-1.1959,0.24646,0.78442
"CHOYP_ISCW_ISCW014579.2.2m.5327",0.26452,1.1956,0.24655,0.78442
"CHOYP_PHUM_PHUM423190.1.1m.18351",-0.26414,-1.1937,0.24727,0.7862
"CHOYP_LOC659398.1.1m.9611",-0.26405,-1.1933,0.24743,0.7862
"CHOYP_DMBT1.13.34m.27666",0.2639,1.1926,0.24771,0.7862
"CHOYP_COPA.1.1m.31888",0.26389,1.1925,0.24773,0.7862
"CHOYP_BRAFLDRAFT_123087.2.2m.27308",0.26385,1.1924,0.2478,0.7862
"CHOYP_SODM.2.2m.62946",-0.26383,-1.1922,0.24784,0.7862
"CHOYP_MTSS1.1.1.1m.41595",0.26383,1.1922,0.24785,0.7862
"CHOYP_GEK.1.1m.4939",0.26382,1.1922,0.24787,0.7862
"CHOYP_PSTA_4372.1.1m.39115",-0.26347,-1.1905,0.24852,0.78728
"CHOYP_LOC591797.1.3m.11526",0.26332,1.1898,0.24879,0.78728
"CHOYP_PSMB2.1.1m.62965",0.26327,1.1895,0.24889,0.78728
"CHOYP_LOC100185549.1.6m.31232",0.26326,1.1895,0.24891,0.78728
"CHOYP_CATA.1.3m.11120",0.26299,1.1882,0.24941,0.78728
"CHOYP_RHO.1.1m.2313",-0.26294,-1.1879,0.2495,0.78728
"CHOYP_BDH2.2.2m.57286",-0.26288,-1.1877,0.2496,0.78728
"CHOYP_LOC100366787.1.1m.65795",0.26266,1.1866,0.25002,0.78728
"CHOYP_IPO7.1.1m.16806",0.26244,1.1855,0.25043,0.78728
"CHOYP_API5.1.1m.17066",0.26235,1.1851,0.25061,0.78728
"CHOYP_LOC100370061.1.1m.41505",0.26234,1.185,0.25063,0.78728
"CHOYP_LOC100370879.1.1m.53699",-0.26234,-1.185,0.25063,0.78728
"CHOYP_COQ9.1.2m.4620",-0.26234,-1.185,0.25063,0.78728
"CHOYP_GFM2.1.1m.18396",-0.26234,-1.185,0.25063,0.78728
"CHOYP_contig_048667m.57735",-0.26234,-1.185,0.25063,0.78728
"CHOYP_SQPA.2.2m.61080",0.26234,1.185,0.25063,0.78728
"CHOYP_contig_039100m.44268",0.26234,1.185,0.25063,0.78728
"CHOYP_CBG09799.1.1m.44038",-0.26234,-1.185,0.25063,0.78728
"CHOYP_LOC100122067.1.1m.49811",-0.26234,-1.185,0.25063,0.78728
"CHOYP_BRAFLDRAFT_64737.1.1m.40499",0.26226,1.1846,0.25077,0.78728
"CHOYP_USP2.1.1m.44411",0.26219,1.1843,0.2509,0.78728
"CHOYP_CPIPJ_CPIJ011346.2.2m.44999",0.26207,1.1837,0.25112,0.78728
"CHOYP_CUL4B.1.1m.6652",0.26195,1.1831,0.25135,0.78728
"CHOYP_BRAFLDRAFT_57395.1.1m.9938",0.2619,1.1829,0.25144,0.78728
"CHOYP_CLEC17A.1.1m.28486",0.26189,1.1828,0.25146,0.78728
"CHOYP_COX1.5.15m.24406",0.26177,1.1823,0.25169,0.78728
"CHOYP_THNS2.1.1m.27131",0.26177,1.1822,0.25169,0.78728
"CHOYP_NEMVEDRAFT_V1G240563.3.3m.30812",0.26161,1.1815,0.25199,0.78728
"CHOYP_LOC100372693.1.1m.16279",0.2616,1.1814,0.25201,0.78728
"CHOYP_BRAFLDRAFT_124675.1.1m.61945",0.26159,1.1814,0.25202,0.78728
"CHOYP_contig_013738m.15666",0.26148,1.1808,0.25223,0.78728
"CHOYP_VA0D1.1.2m.31117",-0.26126,-1.1798,0.25265,0.78728
"CHOYP_CAPLA.1.2m.51979",0.26112,1.1791,0.25292,0.78728
"CHOYP_UBP20.2.2m.51412",-0.26104,-1.1787,0.25307,0.78728
"CHOYP_LOC100706374.1.1m.51988",-0.261,-1.1785,0.25314,0.78728
"CHOYP_ACLY.1.1m.65081",0.26094,1.1782,0.25325,0.78728
"CHOYP_SH3KBP1.1.1m.30545",-0.26083,-1.1777,0.25346,0.78728
"CHOYP_LOC100374573.1.1m.24523",0.26076,1.1774,0.25359,0.78728
"CHOYP_BRAFLDRAFT_125270.1.1m.2429",-0.26071,-1.1771,0.25369,0.78728
"CHOYP_LOC559490.1.1m.44696",0.26063,1.1767,0.25384,0.78728
"CHOYP_LIPA1.1.1m.10892",0.26052,1.1762,0.25405,0.78728
"CHOYP_TSN3.1.1m.57074",-0.26015,-1.1744,0.25474,0.78728
"CHOYP_STERM_3136.1.1m.53971",-0.26015,-1.1744,0.25474,0.78728
"CHOYP_INT11.1.1m.29494",-0.26015,-1.1744,0.25474,0.78728
"CHOYP_LOC100367640.1.1m.22070",-0.26015,-1.1744,0.25474,0.78728
"CHOYP_LOC100376325.1.2m.1959",-0.26015,-1.1744,0.25474,0.78728
