"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_contig_032567m.37185",11.817,8.7409e-05,4.0584,0.011048,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 7; 5 - 9; 7 - 9"
"CHOYP_SSPO.6.14m.26542",11.728,9.1165e-05,4.0402,0.011351,"3 - 11; 3 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ZYRO0F11880G.1.1m.7082",11.674,9.3532e-05,4.029,0.011474,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 9"
"CHOYP_LOC100313664.1.1m.37913",11.566,9.8478e-05,4.0067,0.011749,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_contig_026477m.30166",11.564,9.8591e-05,4.0062,0.011749,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ACIN1A.2.2m.51408",11.475,0.0001029,3.9876,0.01209,"13 - 11; 15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 13 - 15; 13 - 3; 13 - 5; 7 - 15; 7 - 3; 7 - 5; 9 - 5"
"CHOYP_LOC100175722.1.3m.11427",11.135,0.00012143,3.9157,0.014069,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_026696m.30395",11.095,0.00012386,3.9071,0.014154,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_018822m.22082",11.025,0.00012822,3.892,0.014442,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 5 - 9; 7 - 9"
"CHOYP_RHG07.1.1m.14019",11,0.00012985,3.8866,0.014442,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_027304m.31034",10.898,0.00013667,3.8643,0.015001,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100379027.1.1m.27022",10.819,0.00014216,3.8472,0.015401,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 5 - 9"
"CHOYP_LOC100376067.3.3m.62990",10.659,0.0001542,3.8119,0.016491,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_LOC100378430.1.1m.63142",10.487,0.0001684,3.7737,0.017782,"3 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_024653m.28033",10.446,0.00017205,3.7643,0.017941,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15"
"CHOYP_TRIADDRAFT_55525.1.1m.53631",10.418,0.00017459,3.758,0.017981,"13 - 11; 15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_BRAFLDRAFT_264461.1.1m.51481",10.34,0.00018177,3.7405,0.018012,"3 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_SMARCA5.1.1m.31708",10.329,0.00018288,3.7378,0.018012,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 7; 3 - 9"
"CHOYP_MUC21.1.1m.41811",10.329,0.00018288,3.7378,0.018012,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 9"
"CHOYP_contig_038703m.43817",10.317,0.00018395,3.7353,0.018012,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_contig_024418m.27769",10.299,0.00018569,3.7312,0.018012,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC420515.1.1m.15613",10.208,0.0001948,3.7104,0.018447,"13 - 11; 15 - 11; 15 - 13; 13 - 3; 13 - 7; 13 - 9; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_U728.1.1m.63184",10.159,0.00019997,3.699,0.018447,"3 - 11; 7 - 11; 3 - 13; 7 - 13; 3 - 15; 7 - 15; 3 - 5; 3 - 9; 7 - 5; 7 - 9"
"CHOYP_TMEM2.1.4m.6314",10.149,0.00020095,3.6969,0.018447,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9"
