protein_ID,ClusterID,ClusterColor,3_23,5_23,7_23,9_23,11_23,13_23,3_29,5_29,7_29,9_29,11_29,13_29,PC1loadings,UniprotID,UniprotAC
CHOYP_ACT.5.27.m.15585,4,springgreen,3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.0261934683187812,Q8TA69,Q8TA69_CRAGI
CHOYP_ACT1.4.7.m.29125,2,darkorange1,-0.469727496372817,-0.461525823824154,-0.599373987200891,-0.128203272947164,-0.247109648545865,2.64025091680703,-0.607389745637727,1.13147924336295,0.229631338519901,-0.921691852766294,-0.7558707661024,0.189531094707434,-0.0126393065637246,Q8TA69,Q8TA69_CRAGI
CHOYP_ACTC.2.6.m.15315,5,magenta,0.900976667891906,1.98330676544741,-0.621814053518415,-1.14455135447247,-0.581367115616687,-0.44414329258352,-0.0590139261336828,-0.577045861567357,0.142894268624565,-1.14455135447247,0.0104334278324377,1.53487582856828,0.0017480389335904,K1QPJ1,K1QPJ1_CRAGI
CHOYP_ACTN.1.2.m.15252,2,darkorange1,-0.472839161028352,-0.603419459842224,-1.211950551176,-1.49441084983747,0.176987723263481,1.59865294541756,-0.463112965258511,-0.375535869382564,-0.16623983710221,0.319767895620628,1.43005813316001,1.26204199616565,0.00155832842665643,K1RH58,K1RH58_CRAGI
CHOYP_ACTN.2.2.m.63975,5,magenta,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,0.00985748116251912,K1RH58,K1RH58_CRAGI
CHOYP_ALF.2.3.m.40474,2,darkorange1,-1.53696400025589,-0.774865336759574,-0.0654152391229413,0.0223340253218639,-0.645596875176319,1.39983912435678,-0.529359008103876,0.837503197738211,1.97878967948114,-0.688828664736188,-0.375861086784519,0.378424184041311,0.000824563194681213,K1R8R6,K1R8R6_CRAGI
CHOYP_ALF.3.3.m.66837,2,darkorange1,-0.840074496795453,-0.840074496795453,-0.840074496795453,-0.434470750031114,1.39805097521661,1.88233836727601,-0.840074496795453,-0.840074496795453,-0.353298421756388,0.4572127563272,0.0468766434823492,1.2036629134626,0.00885035619579521,K1R8R6,K1R8R6_CRAGI
CHOYP_ATPA.1.1.m.50245,4,springgreen,-0.190201943669758,0.231827997283521,0.30584847928797,0.37094053301912,1.3293027773999,-0.879475451332479,0.226835354177267,-0.193363854717386,0.221005309971643,1.72186775001529,-1.78640394267186,-1.35818300876322,-0.000935888551040276,K1R6Z7,K1R6Z7_CRAGI
CHOYP_CAP.1.2.m.22123,6,darkslategray1,-1.09429146611028,1.23020819543853,0.154766071767064,0.161665760131993,0.199801246986211,2.12529567440814,-1.09429146611028,0.209803120817541,-1.09429146611028,0.180118415061453,-1.09429146611028,0.115507379830184,-0.0199249288327291,K1QI97,K1QI97_CRAGI
CHOYP_CAT.1.1.m.57038,6,darkslategray1,-2.32638402300833,-0.0111366187677173,0.938031662528462,0.352885467181908,-0.083106041141133,0.0719890704378532,0.28544755937743,0.238936277862753,1.50516681265939,-0.781315825243876,-0.972352518112023,0.781838176225279,0.00122539371157544,K1PNZ5,K1PNZ5_CRAGI
CHOYP_CATA.3.3.m.21642,6,darkslategray1,-1.44806256689605,0.178639946906363,0.204259121853387,0.331970473542031,0.998430002983811,2.11808787184481,-0.768322605434052,-0.231667070110732,-0.233754480934473,0.738850788580301,-1.26709346536859,-0.621338016966801,0.00136137594699805,K1PNZ5,K1PNZ5_CRAGI
CHOYP_DGRI_GH15313.1.1.m.5763,2,darkorange1,-0.354281756348349,-1.0476632520449,-1.11778752613521,-1.18547167954765,-0.430729446442175,1.61809913421483,-0.653451614975025,-0.080635437084231,1.25003182287644,-0.0765087443307705,0.759452014309751,1.31894648550729,0.00308275136506054,K1P2H1,K1P2H1_CRAGI
CHOYP_ENPL.3.4.m.39476,6,darkslategray1,-1.07298685415397,0.53634035211058,0.233689275673149,0.0673638015758078,0.567830059485572,0.470640858694869,0.674330732887161,0.798952096321205,1.27471191357009,-0.980808918622945,-2.27886770379745,-0.29119561374407,-0.00372344447118445,K1QX26,K1QX26_CRAGI
CHOYP_ENPL.4.4.m.47194,3,darkmagenta,1.03836051867871,-0.804986339290652,0.169476093171542,-0.918570522870184,1.33049050231778,-0.883826177147844,-0.826387057305488,-0.861814494939087,-0.753695046649625,0.111582992990648,1.89442318172734,0.504946349316864,0.000695341624472762,K1QX26,K1QX26_CRAGI
CHOYP_FABP6.2.2.m.59518,5,magenta,-0.535796285997254,0.0586821795282426,-0.0773158678000824,0.140514765096211,-0.923244402954533,1.50886421378638,-0.305571836178779,0.864968662116423,2.03863178126699,-0.923244402954533,-0.923244402954533,-0.923244402954533,-0.0270908127134586,K1QPM9,K1QPM9_CRAGI
CHOYP_FABP7.2.2.m.29096,1,black,-1.38317516403567,-1.01071802306344,-0.585750920603929,0.0726482196116156,1.30457514275163,-0.102139773938131,-1.23893389337071,-0.505557025168622,0.229772854246734,0.668614473867144,1.7555482170251,0.795115892678284,0.00770407693059154,K1QPM9,K1QPM9_CRAGI
CHOYP_FAF1.1.1.m.35623,5,magenta,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,0.0157224394868802,Q8TA69,Q8TA69_CRAGI
CHOYP_FAF2.1.1.m.54271,2,darkorange1,0.29828200972578,-1.21464518286395,-0.796000945024027,-1.21464518286395,0.0268087856707299,0.874247956034638,-1.21464518286395,-0.39737691387398,0.448210776700977,0.119999214066742,1.56100420345294,1.50876046183806,0.0229306218994971,K1R6D4,K1R6D4_CRAGI
CHOYP_GPDA.1.2.m.6967,3,darkmagenta,0.379812369734794,-0.532045523016138,-0.182286165041655,-0.590891249312987,2.01270959880086,0.158513733996034,1.34558828636734,-1.20834132140094,-0.52215428034992,-1.4529703882111,-0.0810801168916544,0.673145055325361,-0.00102475150343673,K1P8T5,K1P8T5_CRAGI
CHOYP_HS90A.3.3.m.28299,5,magenta,-0.610768188806748,1.63701827896923,-0.610768188806748,-0.610768188806748,-0.610768188806748,-0.610768188806748,0.553374079914802,-0.610768188806748,2.18337149235634,-0.610768188806748,-0.610768188806748,0.512381659213605,0.0140031339796212,K1PNQ5,K1PNQ5_CRAGI
CHOYP_HSP90AA1.1.1.m.14867,1,black,-1.86744562268639,-0.327429922988651,-0.907843110744011,-0.276965377076455,0.467037928011055,0.66005173005038,-0.198209124161619,1.07633330772199,-1.36542511414122,1.15215776416745,1.11062269158282,0.477114850264639,0.00154877033705545,K1PNQ5,K1PNQ5_CRAGI
CHOYP_ISCW_ISCW005292.1.1.m.11066,5,magenta,-0.136461921811452,0.649697842124509,-0.933946177591013,-0.86669162073181,-1.49336992004969,0.0600395528279599,1.61404910068102,-0.619629982779806,-0.69242369325816,-0.111204919961903,1.36716440791407,1.16277733263628,0.00187936342299837,K1QSB0,K1QSB0_CRAGI
CHOYP_KARG.11.11.m.50800,2,darkorange1,0.0631300357990874,-0.604146750268893,-0.213899671885389,-1.14984737642741,-1.00234775847485,2.04522194168718,-0.691982551644131,1.10108984890185,1.27738431224923,-0.823873283038308,-0.19241720989821,0.191688462999833,0.00180008933931567,K1PLF9,K1PLF9_CRAGI
CHOYP_KARG.2.11.m.2196,2,darkorange1,0.403911211646558,-1.15100793054233,-0.860525534861097,-0.640738852063317,-0.642232510003697,1.87717295680016,-1.10089051179635,-0.451524677265862,0.480617305771031,-0.228066969791875,0.998121185163958,1.31516432694282,0.000741217676978553,K1PLF9,K1PLF9_CRAGI
CHOYP_KARG.3.11.m.2494,4,springgreen,1.40537878436172,0.349017445490742,-0.752626305048659,1.55358095588395,-0.752626305048659,-0.752626305048659,1.52918494959756,-0.752626305048659,-0.752626305048659,0.431222000006633,-0.752626305048659,-0.752626305048659,-0.0109203703889331,K1PLF9,K1PLF9_CRAGI
CHOYP_KARG.4.11.m.5401,1,black,-0.408620017356518,-0.408620017356518,-0.408620017356518,-0.408620017356518,-0.408620017356518,-0.408620017356518,-0.408620017356518,-0.408620017356518,1.34246434514021,-0.408620017356518,2.74373582842497,-0.408620017356518,0.0251572468192801,K1PLF9,K1PLF9_CRAGI
CHOYP_LOC100115298.1.1.m.39207,1,black,-0.998211277822925,-0.392423152847772,-0.241050302824591,2.54172196458779,0.289197062081257,-0.920793058497505,-0.867501269612731,0.645196786027355,0.338847227408912,0.514308742887702,0.013356216374678,-0.92264893776217,7.62383479752525e-05,K1Q6U0,K1Q6U0_CRAGI
CHOYP_LOC100197511.1.1.m.22053,1,black,-0.843846269409314,-0.0240275687717665,-0.843846269409314,1.83505738631916,-0.843846269409314,-0.843846269409314,0.903426856542793,0.116882278552582,1.25615051834418,0.975588145468933,-0.843846269409314,-0.843846269409314,0.0181502495933382,K1R6Z7,K1R6Z7_CRAGI
CHOYP_LOC100374422.1.2.m.26376,4,springgreen,2.80914487565308,0.352083749086377,0.307782382867567,0.0686093627905571,-0.862925384936939,-0.539226445264532,-0.147003076402446,0.241194439777945,0.0405642877801066,-0.911915085924304,-0.594365338955581,-0.76394376647183,-0.00965546772088151,K1R5R4,K1R5R4_CRAGI
CHOYP_LOC100374495.1.1.m.55368,4,springgreen,3.086529618309,-0.248048960499919,-0.422232332838552,0.114046097858401,-0.229772217028179,-0.540559880356762,-0.0791270502527322,-0.309031129418723,-0.55498006327942,-0.456449743636853,-0.490408313942412,0.130033975086152,-0.00377979866092796,K1Q5P7,K1Q5P7_CRAGI
CHOYP_LOC100378652.1.1.m.5657,5,magenta,-0.124938768736312,-0.104694830148494,0.621637745886181,0.67172740549694,-1.94065099933453,1.21660146562453,0.0759617310179598,0.381723231722837,1.43005147334705,-1.44519469079176,-0.777426485275593,-0.00479727880881986,-0.000261244495168944,K1QY50,K1QY50_CRAGI
CHOYP_LOC100378652.1.1.m.5658,4,springgreen,1.28186799704696,0.434632505095301,-0.29018121253709,-1.22892097972503,-0.0306086441490807,-1.60928303210806,0.637036505303159,-0.0280353864614285,0.432443315719238,1.79294769927959,-1.01670403415606,-0.375194733307506,0.00239685380876253,K1QY50,K1QY50_CRAGI
CHOYP_LOC100710670.1.2.m.7245,3,darkmagenta,-0.163404589721375,-0.409526734258317,0.211377421251577,0.0983264130388305,1.11906950471373,-0.0358426538262214,0.197407313954278,-2.15438922614593,-0.0328713996622437,-1.28767243174118,1.49179900458657,0.965727377810291,-0.00227018388516797,K1QI97,K1QI97_CRAGI
