protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_LOC659512.3.4.m.26463,22.63845,81.07655,92.8572,67.1032,136.9261,104.04185,61.1467,102.87995,113.883,118.77535,106.90385,94.16325,9,turquoise4
CHOYP_NRP.4.4.m.44647,30.38435,83.1723,87.6963,77.9121,105.82295,87.1181,76.99985,97.1626,110.15735,108.0761,101.47975,72.99325,9,turquoise4
CHOYP_LOC100377364.2.2.m.52803,7.22455,17.4225,19.0295,18.84055,18.414,18.8455,14.98345,21.19325,19.31545,19.5337,22.0147,24.1941,9,turquoise4
CHOYP_PIF.3.6.m.18904,1.28285,35.9045,36.4157,49.81275,41.71845,40.66985,33.74585,44.76065,49.52965,49.9289,52.0079,44.54105,9,turquoise4
CHOYP_LOC100197130.2.2.m.39076,22.00205,49.78495,48.13915,53.00045,47.75965,41.6619,42.74065,59.5095,56.3165,53.19625,54.02755,46.2675,9,turquoise4
CHOYP_FND2.3.4.m.40482,4.67485,29.84215,35.46465,30.7709,37.062,28.99435,27.9809,41.7236,38.24055,37.63385,32.06815,29.8689,9,turquoise4
CHOYP_GIGA6.1.1.m.38687,10.74015,61.84975,69.2108,69.6584,72.94635,64.54235,60.81085,76.7592,77.3614,91.00445,71.49345,72.72175,9,turquoise4
CHOYP_NRP.2.4.m.39720,9.2498,31.70115,27.4279,29.70535,23.08915,26.75965,32.2332,41.21045,34.9032,29.4293,31.76205,35.4173,9,turquoise4
CHOYP_LOC101068378.3.3.m.29759,3.6329,15.6331,23.6525,21.0299,18.8198,15.0213,15.90545,21.91415,24.8439,19.9338,17.8163,12.3432,9,turquoise4
CHOYP_RL24.6.9.m.43123,14.39685,48.64115,63.1641,60.509,44.2605,48.1795,52.1072,63.3581,56.94955,59.8021,42.325,53.13175,9,turquoise4
CHOYP_LOC100567114.1.1.m.39091,0.1,12.9381,13.596,13.7629,11.92745,13.69485,14.19835,13.99005,13.983,10.2577,9.36155,13.92465,9,turquoise4
CHOYP_ELDP2.1.2.m.39081,2.87185,24.02165,26.29745,25.42575,24.9138,21.08225,22.2128,25.0421,30.09025,19.95075,24.04945,24.78565,9,turquoise4
CHOYP_RS9.9.13.m.44486,0.1,51.89025,54.52635,58.11905,53.2517,40.52495,43.45115,51.9999,55.498,48.40425,50.45495,53.28655,9,turquoise4
CHOYP_HMCN1.23.44.m.42684,0.39705,19.63705,20.796,19.29295,15.85235,10.01845,15.71485,21.03625,21.3516,17.76,14.1573,16.8424,9,turquoise4
