gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
CO6A3.3.5.m.39796,3.1856,0,0,0,0,0,0,0,0,0,0,0
PDLI7,49.898,60.63125,0,33.37575,3.0464,0,11.0547,6.9954,0,7.5747,0,36.3197
TITIN.m.27774,0.76275,0,0.3429,0,13.1906,0,0,0,0,0,0,0.28295
COX5B,124.41615,64.3383,110.85495,127.771,126.0457,121.7949,108.05475,137.33665,136.332,199.14415,117.173,135.40065
H2A,121.1427,69.22905,88.26445,84.83615,170.8237,112.75155,100.2529,93.268,113.1851,134.4372,95.09455,152.25075
RSSA,58.01675,51.9362,0,0,19.04625,26.65045,22.60815,25.60555,25.60965,61.96275,109.64515,0
SCP,194.4637,203.56585,192.0196,211.4802,180.86145,178.42855,152.19475,162.6732,191.24515,238.80615,173.93575,195.21435
FABP1.1.1.m.5763,195.6335,244.0432,278.968,266.8002,198.74295,186.57445,170.5402,209.8733,167.68795,263.99715,164.93495,210.04115
TRPT1,6.1119,4.66315,8.4591,0,0,7.9392,0,8.52795,7.1727,1.70495,7.2018,4.4596
RAN,124.43195,125.79375,123.7123,121.19725,124.66115,126.4022,125.40345,159.50245,105.94765,116.0349,111.6655,117.6517
ODP2,72.3133,69.47585,72.241,54.3194,63.9854,66.42315,62.3258,71.7773,69.97825,72.64385,61.6978,65.59115
DLDH,72.4096,64.6879,63.12375,64.0576,76.6849,61.8885,58.97275,95.5552,51.8098,63.05105,60.1041,78.32315
DYH7.2.3.m.32353,1.81,1.97865,2.7485,1.79385,5.85035,0.6132,2.5393,3.1779,2.5292,3.01395,2.5487,1.6061
DYH5.1.2.m.56799,0.1829,1.5827,1.0089,0,0,0,0.1682,0,0,0,0,0.30365
DYH5.2.2.m.61452,6.43915,10.3578,10.08685,8.29325,26.1408,13.98735,14.2576,11.908,14.8691,11.8459,10.28785,3.8268
DYH6,0.6198,1.6068,1.2313,0.44185,7.0165,2.1548,3.59165,3.04955,2.97265,1.93025,1.7628,0.33075
DYH7.2.2.m.46648,2.6919,5.1507,6.03595,5.0762,15.26375,7.42515,8.0285,7.7133,7.5798,8.02045,5.6692,1.7457
GDIR1,77.91445,102.70125,109.2166,136.6929,89.8193,94.9016,87.7166,117.3842,78.2396,99.7642,87.4334,113.1007
HSPB1,0,10.8075,0,6.6216,56.49475,122.6062,60.04015,92.9867,23.2102,27.6018,13.3981,10.3443
PPIB.1.1.m.10086,102.25095,108.86235,103.584,114.128,107.76365,116.45805,95.9049,111.47895,90.3221,97.81235,101.67625,137.47265
H2B7,156.1862,85.94235,143.62275,129.7743,191.80265,180.54765,109.4146,114.1186,203.12225,131.2261,155.92475,183.05145
EXC4,79.58035,115.3903,102.4543,96.1732,65.0712,92.54605,76.20545,83.24985,71.8392,83.5669,79.2743,115.0878
DYH1,0.8599,2.312,1.5698,0.9132,8.73725,2.2725,2.93505,2.31035,2.9348,1.7507,2.015,0.6958
DYH2.1.1.m.28905,1.19315,1.61505,1.13585,1.0975,7.76445,2.4848,4.0294,3.2129,3.47945,3.1121,0.81585,0.64595
DYHC,11.92025,17.22555,19.7656,13.0019,35.62245,19.81735,19.9859,21.64555,21.152,21.0596,15.3078,9.5734
EF1A.2.4.m.50858,813.5562,746.1566,814.2211,708.48805,592.91925,739.42795,671.2199,731.18665,625.9092,710.73345,638.5678,784.8577
EF1A.1.3.m.30022,1.3205,0,0,0,1.19085,0,0,0,0,0,1.2437,0
EF2.4.5.m.30186,248.0131,215.0276,198.03735,183.2886,138.03715,193.91385,197.80085,229.15495,175.81705,188.7871,273.92685,222.3128
EF2.5.5.m.39855,10.05155,12.332,68.91795,34.9449,53.19405,61.4865,78.49435,69.5681,72.4112,55.00235,47.6688,10.4371
ETIF1,105.4841,58.44625,89.5326,72.01,102.10135,93.12115,84.1418,79.45945,83.4594,58.3552,119.00165,91.6735
IF5A1,363.8985,245.66555,240.5233,292.33845,352.3577,311.9791,380.49725,287.03825,273.24535,194.38305,269.13555,305.7476
ELDP1,24.9138,24.04945,21.08225,24.78565,2.87185,22.2128,24.02165,25.0421,26.29745,30.09025,25.42575,19.95075
ENO,205.88405,208.1377,186.4109,194.5305,168.42915,148.02745,156.00445,182.30925,141.5826,208.96075,161.44515,184.8943
