gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
Y1819,122.79895,135.3833,77.1815,119.40135,79.08505,104.35985,89.5519,127.2221,90.58015,78.8054,119.38935,115.72815
TGM1,2.3611,3.9517,3.81345,5.00815,24.9204,6.5804,4.85325,3.9362,2.9045,0.917,2.2281,4.5617
NPC2.5.7.m.30911,58.61545,84.63235,71.50175,69.0604,62.96075,39.1573,44.60195,59.0566,46.80265,60.7125,43.1648,73.2115
NPC2.6.7.m.31030,262.2899,215.0872,273.89035,262.5272,173.0241,229.2927,252.0057,356.49655,269.33205,315.0711,363.95865,266.57065
NRP.2.4.m.39720,23.08915,31.76205,26.75965,35.4173,9.2498,32.2332,31.70115,41.21045,27.4279,34.9032,29.70535,29.4293
PABP4,65.09145,63.0693,59.9514,54.6321,59.81335,64.78695,61.7861,69.1753,65.0106,57.69475,71.2809,67.34395
ACTM,300.49035,964.1086,0,0,507.825,441.7236,0,0,479.97415,0,0,296.0909
PCKG,102.7659,127.0171,143.6275,140.08805,97.49695,101.1462,96.5534,117.8268,95.32455,108.9759,86.96695,116.1839
NFASC,1.6482,3.33155,0,1.50745,0,0.8166,5.16255,3.3213,3.08435,0.96195,3.10735,2.3951
PGBM,2.77795,0.7049,6.5855,1.90155,5.39165,3.6225,2.472,2.6534,4.79955,5.09545,4.5653,2.8246
UNC22.2.7.m.2274,5.55075,13.5785,62.9229,5.19175,3.0754,5.413,4.6058,6.6137,8.5284,9.7317,4.736,6.11965
UNC22.3.7.m.20773,0,0.80955,0,0.5075,1.27585,0,2.0138,0,0,0,0.75315,0
UNC22.5.7.m.43551,3.4059,4.588,3.31295,0,3.92645,3.4396,2.6665,2.80975,1.4728,2.18395,1.71005,2.7359
UNC22.7.7.m.54053,62.5979,71.61115,13.1983,71.6246,56.3315,61.38385,56.9599,62.7885,57.1239,57.16055,51.77775,68.2577
CNN3,199.0615,263.4231,270.1265,305.94795,187.8745,218.49215,198.82895,248.4214,214.75525,255.32345,206.31775,236.07705
PIF,41.71845,52.0079,40.66985,44.54105,1.28285,33.74585,35.9045,44.76065,36.4157,49.52965,49.81275,49.9289
PPIB.2.4.m.40019,0,0,0,0,8.7502,0,0,0,0,0,0,0
GSTA.2.2.m.34365,0,0,0,0,126.77505,103.5642,137.33525,0,143.5327,58.6853,0,0
PSA,70.19065,74.9415,68.08925,65.43095,59.7481,65.51415,65.411,73.9508,67.42915,66.538,65.0744,69.3468
RSPH1,96.8592,80.319,124.92895,77.99255,152.2317,130.0278,122.26445,128.5886,113.81925,131.409,127.8155,90.1531
RBBP4,66.7187,55.0064,61.144,60.73925,53.9678,67.0933,68.74675,64.3764,66.2882,58.86465,48.71055,82.92795
MUC1.1.2.m.4308,11.443,9.9903,12.4624,10.67825,6.31145,10.7683,13.21985,17.27615,10.3385,9.7975,16.7877,12.6948
RL10A,27.9131,28.1339,115.24625,50.97635,108.2056,109.0877,61.8349,50.25475,36.3662,34.09725,65.2041,78.3594
RL18A.1.8.m.12900,92.10045,55.75785,83.08285,62.2896,54.291,66.85195,94.1909,79.04065,99.41605,64.46195,93.34865,92.70115
RL18A.6.8.m.61646,78.7526,106.0635,28.50455,53.26215,46.4227,57.1633,80.54005,67.58545,32.1935,55.11965,42.006,79.2662
RL23A,129.10725,130.86365,62.32085,85.1178,61.0916,58.88565,69.53675,108.6764,78.8425,83.50115,99.4859,119.4912
RL9,110.71455,115.9448,96.3974,193.101,106.2045,93.0276,135.5611,91.2254,169.799,62.10145,115.81615,167.6689
RLA1,0,0,0,0,0,0,204.6253,90.3577,112.90785,255.53235,123.0219,109.16595
HEXP,126.61055,103.1392,71.40255,56.2915,0,57.4408,29.1316,38.9859,57.6706,52.17445,30.9671,162.05325
RS23,145.7166,115.48745,207.1506,168.0397,125.7829,184.63675,216.5887,171.4445,158.9832,108.1729,143.88085,114.42875
RS3A,172.1084,171.7772,25.15805,0,137.98365,162.87345,88.8072,182.7894,97.0305,173.63305,87.3261,88.90715
RS4,94.25635,83.01205,55.53835,15.2927,31.0485,35.4363,34.3459,73.6299,71.0229,18.6376,46.8738,91.43885
RS8,84.06055,0,0,0,0,0,40.21305,0,0,0,0,0
ELDP2,53.2517,50.45495,40.52495,53.28655,0,43.45115,51.89025,51.9999,54.52635,55.498,58.11905,48.40425
SAHHA,154.2407,124.55925,124.35695,106.2546,96.84395,119.7168,133.78185,141.5812,126.9601,128.8839,127.7947,132.8613
PP2AB,61.70595,50.82335,75.1894,63.5444,63.1034,57.60435,56.6995,73.83815,72.36845,85.88835,67.4032,52.39415
ZASP.2.1.4.m.8660,84.1545,85.20555,71.316,73.5905,48.51105,61.47745,48.9129,66.39625,58.2988,69.19015,58.72535,88.74995
COR1B,42.14975,14.29215,0,7.9686,0,6.158,8.6999,57.8777,0,0,0,44.4738
ZASP.1.1.m.927,70.0425,59.9089,45.95815,78.9262,76.2445,70.4429,62.3339,65.21065,80.55255,66.0635,61.1801,78.42785
YDJ1,68.5741,84.98635,78.74505,85.28395,52.56535,57.9162,57.49555,66.4137,59.32765,66.19595,61.2116,58.96725
SPTCA,74.06255,78.6886,0,78.6579,26.1025,57.8742,64.45,63.99765,68.44545,68.69485,64.5489,78.858
ZAN,1.60715,2.55955,1.4006,2.94545,11.9969,2.36125,2.68005,2.08275,2.57465,1.7919,4.77045,3.345
TAGL3,339.82105,467.86335,264.21265,423.168,284.47355,317.2425,273.5725,280.77695,236.9143,257.51455,269.42295,361.24375
TBA.1.6.m.12217,16.7105,50.3576,280.26985,0,544.12625,34.45415,198.43425,140.54485,143.3838,183.0576,112.79015,83.7
TBA.5.6.m.37448,36.45855,13.9508,99.6944,32.9151,4.073,16.95025,12.07275,0,8.4994,0,21.62265,4.46465
TBA1,0,0,0,0,0,0,0,153.7642,0,0,0,0
TBA8,0,0,0,0,108.6418,0,115.5204,0,0,0,0,0
TBA1A,191.1755,163.4568,77.0967,244.56415,257.928,262.74455,219.92985,194.8525,199.71705,230.8458,228.9927,157.151
TBA3,54.53855,57.6196,135.45645,131.253,69.65905,75.94475,87.3643,15.78245,79.69585,70.5466,91.7559,37.6123
TBB.1.7.m.12262,315.0938,635.2697,435.76855,567.3892,333.21015,575.2672,548.0101,265.15795,588.66265,367.6797,448.0418,401.77685
TBB.7.7.m.63980,384.00315,176.5041,308.5597,192.195,428.7215,261.08445,242.1056,359.34275,247.93235,260.92085,220.68445,285.65025
TCPD,89.07915,85.43595,85.06115,66.9875,82.62295,79.9294,79.19235,87.41855,79.1072,82.72725,140.34555,79.7704
TCPH,73.91715,53.0097,65.20785,51.02475,75.6942,74.9364,64.7387,73.3812,72.11635,63.08405,86.52065,71.64085
TEKT3.1.1.m.37281,42.2018,28.54065,34.3555,25.8319,118.97745,49.05235,37.7092,36.1465,47.90965,49.9384,48.27695,44.7786
TEKT3.1.1.m.60031,24.66905,7.8018,27.74245,15.502,63.79385,15.98475,20.33005,0,12.6105,31.6757,14.5056,7.37635
TEMPT.1.3.m.4934,74.89815,115.6941,80.50545,76.66635,15.5828,28.80595,27.41575,49.0512,53.398,68.742,20.99135,85.5237
TITIN.6.19.m.31591,2.68335,4.95225,0,12.60185,0,0,0,3.9762,0,3.59485,3.01895,0
TITIN.8.19.m.35861,0.3285,0,0,0,2.3391,1.4235,0,0,0,0,0,0
CEIP2,0.6011,0,0,0,10.5637,0.5587,0.5275,0,0,0.65165,0,0
TNNC,176.23865,238.73265,243.50365,211.9697,219.06835,186.5824,152.94355,181.43585,194.4996,257.934,139.46295,182.31105
TPM.15.19.m.50851,82.27625,33.00315,0,36.21735,71.15495,59.00475,47.7592,0,53.90195,0,32.27125,44.20625
TPM.17.19.m.63919,81.6865,162.7206,74.9678,0,0,0,87.95335,0,86.9468,49.79045,77.24905,152.07435
TPM.18.19.m.66023,0,12.98565,70.76315,0,91.4025,60.1499,5.8748,0,6.20985,42.9447,0,0
ROAA,71.48195,0,0,101.3903,2.2794,110.35385,105.24525,2.62075,110.6422,52.96835,111.4712,0
TPM.8.8.m.50799,0,12.78145,20.717,27.48925,48.61635,0,0,40.0687,0,103.56905,23.6224,0
TEMPT.4.4.m.44519,32.75485,40.70035,33.7046,32.17735,0,42.26575,35.83815,35.43395,37.5912,55.9513,42.6266,21.9574
COFI,218.18475,270.9148,321.19135,478.2411,358.1622,303.20255,350.48735,370.01345,254.32635,259.1985,353.78955,229.80995
NRP.1.1.m.44429,4.9112,7.24245,3.66805,5.8517,0.9974,8.7824,11.38615,9.8448,9.83975,8.3718,8.54385,8.3974
TYRO,14.91465,18.0752,5.8138,14.7703,2.6356,14.47835,12.22455,22.8373,17.7874,17.27135,19.0928,15.63625
VATA,66.25095,63.02085,81.70735,68.29435,63.4817,71.43255,69.88065,69.4916,68.9255,60.98255,74.7932,65.998
DPGN,251.0353,193.93855,185.57225,157.5121,508.734,284.42,251.0703,182.0209,211.39365,166.2589,230.9109,183.36395
VRP,9.6249,3.2576,16.94745,16.6637,5.67775,27.9773,22.87545,22.7063,27.07695,30.97875,23.2719,9.34355
XRN2,7.34265,1.89185,13.4363,1.7141,9.2154,3.42945,11.45375,4.31685,8.01165,3.4199,9.2883,1.23625
YXIE,54.5615,82.52775,56.9378,85.46705,65.41405,54.52605,48.64585,51.20825,29.31065,56.4039,47.6959,71.82265
