GO,p.value
GO:0000212,0.0489957276650377
GO:0008810,0.042149492720218
GO:0004719,0.0142566018084177
GO:0000400,0.0283054009772392
GO:0001503,0.0489957276650377
GO:0002027,0.042149492720218
GO:0003941,0.0352528436741845
GO:0003785,0.00181965456287987
GO:0005787,0.0213067821595928
GO:0001725,0.0129533903448128
GO:0030245,0.042149492720218
GO:0003283,0.0283054009772392
GO:0004743,0.042149492720218
GO:0004794,0.0283054009772392
GO:0004419,0.0142566018084177
GO:0030414,0.0352528436741845
GO:0006465,0.042149492720218
GO:0006629,0.00213446851181006
GO:0005744,0.0213067821595928
GO:0005856,0.00041672947326417
GO:0030248,0.0352528436741845
GO:0003417,0.0352528436741845
GO:0061052,0.042149492720218
GO:0006565,0.0283054009772392
GO:0005521,0.0283054009772392
GO:0016810,0.0489957276650377
GO:0007624,0.0213067821595928
GO:0016603,0.0213067821595928
GO:0018243,0.042149492720218
GO:0048096,0.0213067821595928
GO:0006567,0.0283054009772392
GO:0007015,0.0237114272558611
GO:0017040,0.0213067821595928
GO:0015450,0.0213067821595928
GO:0017186,0.0213067821595928
GO:0008420,0.0213067821595928
GO:0005585,0.0142566018084177
GO:0045047,0.0283054009772392
GO:0070940,0.0213067821595928
GO:0007282,0.0213067821595928
GO:0005640,0.0352528436741845
GO:0102121,0.0213067821595928
GO:0072321,0.0283054009772392
GO:0099641,0.0142566018084177
GO:0098794,0.0402706897725258
GO:1904724,0.0489957276650377
GO:0007527,0.0213067821595928
GO:0008302,0.0352528436741845
GO:0008301,0.0352528436741845
GO:0030295,0.042149492720218
GO:0032392,0.0213067821595928
GO:0034316,0.0352528436741845
GO:0030903,0.0213067821595928
GO:0046951,0.0142566018084177
GO:0035329,0.0489957276650377
GO:0035767,0.0213067821595928
GO:0030507,0.00822558888542083
GO:0045721,0.0352528436741845
GO:0010881,0.0489957276650377
GO:0030723,0.0213067821595928
GO:0045578,0.0213067821595928
GO:0010882,0.0352528436741845
GO:0030724,0.0213067821595928
GO:0035183,0.042149492720218
GO:0060351,0.0283054009772392
GO:0051015,0.0424424371631263
GO:0034993,0.0283054009772392
GO:0051017,0.0109486368609074
GO:0045172,0.0283054009772392
GO:0071306,0.0142566018084177
GO:0042692,0.042149492720218
GO:0070528,0.042149492720218
GO:0046965,0.0352528436741845
GO:0071316,0.0142566018084177
GO:0071672,0.0352528436741845
GO:0045478,0.0352528436741845
GO:0071933,0.0283054009772392
GO:0048134,0.0352528436741845
GO:0071374,0.0283054009772392
GO:0048135,0.0213067821595928
GO:0071375,0.042149492720218
GO:0090135,0.0213067821595928
GO:0071774,0.0142566018084177
GO:0090286,0.0283054009772392
GO:1902463,0.0213067821595928
GO:0090292,0.0283054009772392
GO:2000393,0.0283054009772392
GO:2000394,0.0213067821595928
GO:2000325,0.0142566018084177
GO:0061572,0.0213067821595928
GO:0033292,0.042149492720218
GO:0036309,0.0283054009772392
GO:0036371,0.0283054009772392
GO:0043268,0.0489957276650377
GO:0051279,0.0489957276650377
GO:0051924,0.042149492720218
GO:0051928,0.0283054009772392
GO:0055117,0.0352528436741845
GO:0060307,0.042149492720218
GO:0070296,0.0283054009772392
GO:0070972,0.0283054009772392
GO:0086004,0.042149492720218
GO:0086005,0.0283054009772392
GO:0086014,0.0352528436741845
GO:0086015,0.0283054009772392
GO:0086046,0.0283054009772392
GO:0086066,0.0283054009772392
GO:0086070,0.0283054009772392
GO:0086091,0.042149492720218
GO:0098907,0.0283054009772392
GO:0098910,0.0283054009772392
GO:0140031,0.0352528436741845
GO:1901018,0.0352528436741845
GO:1901019,0.0283054009772392
GO:1901021,0.0283054009772392
GO:2001259,0.042149492720218
