GO,p.value,p.adj
GO:0004000,0.00163559018540937,0.225711445586493
GO:0004332,0.00130879332458626,0.180613478792904
GO:0001674,0.000654718048874822,0.0903510907447255
GO:0003429,0.00489475528918845,0.675476229908006
GO:0004185,0.00130879332458626,0.180613478792904
GO:0003785,0.0026150189196223,0.360872610907877
GO:0004867,9.98149306008527e-05,0.0137744604229177
GO:0008146,0.00163559018540937,0.225711445586493
GO:0005576,0.00106874920935802,0.147487390891407
GO:0004563,0.0026150189196223,0.360872610907877
GO:0001678,0.00228870287804521,0.315840997170239
GO:0001825,0.00294117489773884,0.405882135887959
GO:0005764,0.00149473546271733,0.206273493854991
GO:0006096,5.58289704175075e-05,0.00770439791761604
GO:0005534,0.00130879332458626,0.180613478792904
GO:0005911,0.000366422070256044,0.0505662456953341
GO:0002175,0.00196222666825399,0.270787280219051
GO:0071466,0.000654718048874822,0.0903510907447255
GO:0005581,9.431057835046e-05,0.0130148598123635
GO:0008289,0.000224961178984464,0.031044642699856
GO:0004340,0.00163559018540937,0.225711445586493
GO:0030414,0.00163559018540937,0.225711445586493
GO:0046274,0.000654718048874822,0.0903510907447255
GO:0005856,0.00217332946496302,0.299919466164896
GO:0042151,0.000654718048874822,0.0903510907447255
GO:0007155,0.00172983339961305,0.238717009146601
GO:0004396,0.00163559018540937,0.225711445586493
GO:0021846,0.00196222666825399,0.270787280219051
GO:0052716,0.000654718048874822,0.0903510907447255
GO:0090729,0.00196222666825399,0.270787280219051
GO:0042788,0.00424420026767584,0.585699636939266
GO:0006154,0.00163559018540937,0.225711445586493
GO:0033296,0.000654718048874822,0.0903510907447255
GO:0006689,0.0026150189196223,0.360872610907877
GO:0005536,0.0026150189196223,0.360872610907877
GO:0098556,0.00196222666825399,0.270787280219051
GO:0042564,0.000981835980773718,0.135493365346773
GO:0031012,0.0005537682290559,0.0764200156097143
GO:0042995,0.000129636380557177,0.0178898205168905
GO:0030054,0.001642486390479,0.226663121886102
GO:0007611,0.00489475528918845,0.675476229908006
GO:0009117,0.00424420026767584,0.585699636939266
GO:0043025,0.00116330671251856,0.160536326327561
GO:0006000,0.00294117489773884,0.405882135887959
GO:0009168,0.000981835980773718,0.135493365346773
GO:0060473,0.000654718048874822,0.0903510907447255
GO:0060134,0.00196222666825399,0.270787280219051
GO:0009313,0.00359300708217652,0.495834977340359
GO:0006915,0.00177429812391878,0.244853141100791
GO:1903777,0.000654718048874822,0.0903510907447255
GO:0071944,0.0045695574967993,0.630598934558303
GO:0070208,0.00391868349757702,0.540778322665628
GO:0006013,0.00326717091706277,0.450869586554663
GO:0007413,0.00391868349757702,0.540778322665628
GO:0043103,0.000981835980773718,0.135493365346773
GO:0007016,0.00424420026767584,0.585699636939266
GO:0016004,0.00163559018540937,0.225711445586493
GO:0010634,0.00489475528918845,0.675476229908006
GO:0046103,0.000981835980773718,0.135493365346773
GO:0008865,0.00163559018540937,0.225711445586493
GO:0014069,0.000606394653654616,0.0836824622043371
GO:0060205,0.000654718048874822,0.0903510907447255
GO:0019158,0.00163559018540937,0.225711445586493
GO:0021801,0.000981835980773718,0.135493365346773
GO:0030865,0.00163559018540937,0.225711445586493
GO:0019915,0.00391868349757702,0.540778322665628
GO:0032428,0.00130879332458626,0.180613478792904
GO:0030913,0.00294117489773884,0.405882135887959
GO:0050877,0.00424420026767584,0.585699636939266
GO:0031032,0.00489475528918845,0.675476229908006
GO:0050885,0.00489475528918845,0.675476229908006
GO:0030517,0.00228870287804521,0.315840997170239
GO:0033270,0.0026150189196223,0.360872610907877
GO:0051345,0.00130879332458626,0.180613478792904
GO:0043217,0.00163559018540937,0.225711445586493
GO:0033601,0.000981835980773718,0.135493365346773
GO:0044224,0.00196222666825399,0.270787280219051
GO:0071205,0.00196222666825399,0.270787280219051
GO:0050771,0.00228870287804521,0.315840997170239
GO:0051292,0.0026150189196223,0.360872610907877
GO:0060317,0.00163559018540937,0.225711445586493
GO:0071782,0.00294117489773884,0.405882135887959
GO:0071786,0.00130879332458626,0.180613478792904
GO:0071787,0.00163559018540937,0.225711445586493
GO:0098826,0.00130879332458626,0.180613478792904
GO:1905552,0.00130879332458626,0.180613478792904
GO:1905580,0.000981835980773718,0.135493365346773
GO:1990809,0.00163559018540937,0.225711445586493
GO:2000172,0.000981835980773718,0.135493365346773
