protein,PC1loadings
CHOYP_HS90A.3.3|m.28300,-0.00440257765605208
CHOYP_HSP21.4.1.1|m.8171,0.000202621291470587
CHOYP_HSP7D.2.3|m.34785,0.0230904132893847
CHOYP_HSP7D.3.3|m.41778,0.00379200265628058
CHOYP_HSP7E.1.1|m.13730,0.00780969436797468
CHOYP_AAEL_AAEL001503.1.1|m.10649,-0.00488332863553142
CHOYP_ANKRD5.1.2|m.11711,0.02077110822024
CHOYP_HTR5B.1.1|m.39330,-0.00800276719973882
CHOYP_HTT.1.1|m.33803,0.0255837412639445
CHOYP_HUTH.1.1|m.30350,0.010873900253068
CHOYP_HVCN1.1.4|m.8888,-0.0019369175657152
CHOYP_HX1.1.1|m.23716,-0.00218023131258739
CHOYP_HYOU1.1.3|m.163,0.0141370872924577
CHOYP_IDHC.1.1|m.7041,6.02322404855742e-05
CHOYP_IDLC.1.1|m.63624,0.017928716311302
CHOYP_IF2A.1.1|m.13279,0.000420798220320949
CHOYP_IF2H.1.1|m.18253,0.000333056162697942
CHOYP_ANKY2.2.2|m.44213,-0.00148836732125334
CHOYP_IF4A3.1.1|m.30424,0.00232786979103751
CHOYP_IF4E.1.1|m.56823,0.0172146565741888
CHOYP_IF4G2.1.1|m.62766,0.00363061282223766
CHOYP_IF6.1.1|m.22685,-0.00155194184978218
CHOYP_IFT140.1.1|m.61053,0.0110955795271906
CHOYP_IFT57.1.1|m.13249,0.0170464825960573
CHOYP_IKBZ.1.1|m.23083,0.0140614037025157
CHOYP_IMA2.2.2|m.49279,0.00478566034731923
CHOYP_IMDH3.1.1|m.51789,0.0066527931394116
CHOYP_IMG5_109580.1.1|m.27791,0.00885757895055639
CHOYP_ANLN.1.1|m.6530,-0.00175609236597013
CHOYP_IMSP5.1.2|m.5157,-0.0125462960335923
CHOYP_INO1A.1.1|m.91,0.0154787691672611
CHOYP_INT11.1.1|m.29494,0.0107006650683188
CHOYP_INT6.1.1|m.13005,0.0117021287128686
CHOYP_INT9.1.1|m.11703,0.00830846128235437
CHOYP_INVS.2.6|m.8331,0
CHOYP_IPO7.1.1|m.16806,-0.000684645815701357
CHOYP_IQCA1.1.3|m.4290,0.0106585130700431
CHOYP_IQGA1.1.1|m.47731,-0.00308829612221225
CHOYP_IRF1.1.3|m.52606,7.20314173904209e-05
CHOYP_ANM5.1.1|m.1529,0.00582327416207735
CHOYP_ISCW_ISCW001487.2.2|m.61505,0.0170804091529707
CHOYP_ISCW_ISCW003928.1.1|m.18079,-0.00148294177864596
CHOYP_ISCW_ISCW004725.1.1|m.9722,7.02243888111235e-05
CHOYP_ISCW_ISCW005292.1.1|m.11066,-5.30624139972195e-05
CHOYP_ISCW_ISCW005596.1.1|m.60561,0.0124587113507109
CHOYP_ISCW_ISCW005651.1.1|m.49000,-0.000290737436804029
CHOYP_ISCW_ISCW005791.1.1|m.53514,-0.00126567745799283
CHOYP_ISCW_ISCW006091.2.2|m.61313,0.0302521679806305
CHOYP_ISCW_ISCW006831.1.1|m.23820,0.0111677855063437
CHOYP_ISCW_ISCW008219.1.2|m.46822,-0.00289592582099921
CHOYP_ANR17.1.2|m.772,0.000224654102303237
CHOYP_ISCW_ISCW008316.1.3|m.11997,0
CHOYP_ISCW_ISCW008555.1.1|m.40873,-0.000510499601820839
CHOYP_ISCW_ISCW008596.1.2|m.8803,-0.0197110577006481
CHOYP_ISCW_ISCW008596.2.2|m.44077,0.0248993947719077
CHOYP_ISCW_ISCW010143.3.3|m.61542,-0.00235992944135794
CHOYP_ISCW_ISCW010532.1.4|m.11493,-0.000474341286615629
CHOYP_ISCW_ISCW010532.2.4|m.35454,0.00207454733968618
CHOYP_ISCW_ISCW011108.1.1|m.13934,-0.000247134362864713
CHOYP_ISCW_ISCW011341.1.1|m.18728,0.00155093834573603
CHOYP_ISCW_ISCW012010.1.1|m.27251,0.000797854445791617
CHOYP_ANR40.1.1|m.1429,0.0263459575080136
CHOYP_ISCW_ISCW012036.1.1|m.27987,1.11166727515079e-05
CHOYP_ISCW_ISCW012232.1.1|m.38746,-0.00921902295481251
CHOYP_ISCW_ISCW012366.1.1|m.3691,0.00063164105486566
CHOYP_ISCW_ISCW012623.1.1|m.26452,0.00615840363168622
CHOYP_ISCW_ISCW013556.1.1|m.26406,-0.0090273608553922
CHOYP_ISCW_ISCW013767.1.1|m.29335,0.00445339274484895
CHOYP_ISCW_ISCW013795.1.1|m.12153,0.00393730339355412
CHOYP_ISCW_ISCW014398.1.3|m.15838,0.00029629910983075
CHOYP_ISCW_ISCW014398.1.3|m.15839,0.0183210045489438
CHOYP_ISCW_ISCW014726.5.5|m.47210,0.0105538120229662
CHOYP_AOF.1.1|m.7109,0.0162727602737314
CHOYP_ISCW_ISCW014880.1.1|m.27977,0.00808325692420628
CHOYP_ISCW_ISCW015295.1.1|m.22192,0.000385598179859029
CHOYP_ISCW_ISCW016254.2.5|m.38599,0.017659796743929
CHOYP_ISCW_ISCW017188.1.1|m.23179,0.0166758802458821
CHOYP_ISCW_ISCW017652.1.1|m.49306,0.00798485728794587
CHOYP_ISCW_ISCW017707.1.1|m.58329,0.00833402677708256
CHOYP_ISCW_ISCW017709.1.1|m.30040,-0.00438541725360325
CHOYP_ISCW_ISCW017872.2.2|m.60293,-0.00318142411960757
CHOYP_ISCW_ISCW018425.1.1|m.35608,0.000195660883846722
CHOYP_ISCW_ISCW018501.2.2|m.61797,0.00494882860675856
CHOYP_AP1G1.1.1|m.13111,0.00265362528933213
CHOYP_ISCW_ISCW018536.1.1|m.56336,0.00191341664644493
CHOYP_ISCW_ISCW018656.1.1|m.51893,0.0147220203063553
CHOYP_ISCW_ISCW020302.1.1|m.37564,0.0151157886466794
CHOYP_ISCW_ISCW020550.2.2|m.18099,-0.00098332928578199
CHOYP_ISCW_ISCW021457.1.1|m.31134,-0.000527911120764926
CHOYP_ISCW_ISCW021591.1.1|m.13969,0.00717221373250274
CHOYP_ISCW_ISCW021591.1.1|m.13970,0.00287243618025656
CHOYP_ISCW_ISCW022021.1.1|m.53168,-0.00137568294448237
CHOYP_ISCW_ISCW022029.1.1|m.9014,-0.000947282335454213
CHOYP_ISCW_ISCW022609.1.1|m.26988,-0.0196858883777274
CHOYP_AP1M1.1.1|m.56248,-0.000502723328666529
CHOYP_ISCW_ISCW023153.1.1|m.10480,0.0155080182755645
CHOYP_ISCW_ISCW023180.1.2|m.31255,0.0132587426742987
CHOYP_ISCW_ISCW023297.1.1|m.11833,0.0202880013962964
CHOYP_ISCW_ISCW023591.1.1|m.9921,0.00845698552315762
CHOYP_ISCW_ISCW023973.1.2|m.6506,-0.000682791309567709
CHOYP_ISY1.1.1|m.53545,0.017454088943199
CHOYP_ITB1.3.4|m.28565,0.00316926619178565
CHOYP_ITPA.1.1|m.13655,0.0141117766670094
CHOYP_IVD.1.2|m.5213,0.00868978825711241
CHOYP_IVD.2.2|m.14522,0.00605397383848141
CHOYP_AP2M1.1.1|m.25996,0.00442175279879797
CHOYP_JNK.1.1|m.1540,0.0122261168688148
CHOYP_K0020.1.1|m.1673,0.0102944527576582
CHOYP_K6PF.1.1|m.46882,0.00242180564357932
CHOYP_KAPR.1.3|m.8246,-0.0108856999323303
CHOYP_KAPR.2.3|m.56519,-0.0004124552773497
CHOYP_KAT3.1.1|m.49207,0.0062721033762537
CHOYP_KAT8.1.1|m.28310,0.00665328183880684
CHOYP_KC1A.2.2|m.64030,0.0140359281627382
CHOYP_KCIP4.1.1|m.46682,-0.00339776291463892
CHOYP_AAEL_AAEL001706.1.1|m.43821,-0.00214258898957919
CHOYP_AP3M2.1.1|m.43706,0.0193211191074478
CHOYP_KCMF1.1.1|m.62675,0.0173789815076929
CHOYP_KCP.3.13|m.17018,-0.00261177118299147
CHOYP_KCP.8.13|m.40457,-0.0148874314176512
CHOYP_KCP.9.13|m.43409,-0.010955218155014
CHOYP_KDEL1.1.1|m.62729,0.0297897646928215
CHOYP_KDM1A.1.1|m.60229,0.0121254149967662
CHOYP_KDM1A.1.1|m.60230,0.00854415519450335
CHOYP_KDM5A.1.1|m.51935,0.00794692209311719
CHOYP_KHDR1.1.1|m.8878,-0.00069361618622028
CHOYP_KI11A.1.1|m.14576,-0.00243939316382291
CHOYP_KI16B.1.3|m.42636,-0.0038219525550651
CHOYP_KIF2A.2.2|m.62686,0.0095872949749155
CHOYP_KIF2A.2.2|m.62688,-0.00468997741909778
CHOYP_KLH26.1.2|m.8792,0.00917593408382092
CHOYP_KLH36.1.2|m.12244,0.0158752682400486
CHOYP_KLHDB.3.5|m.46662,0.00388435007208216
CHOYP_KLHL24.2.4|m.18433,0.00432203807798615
CHOYP_KMO.1.2|m.17496,-0.018463115825777
CHOYP_KPC1.2.2|m.37402,0.00434241954933158
CHOYP_KPRB.1.1|m.17501,-0.00522734734463988
CHOYP_API5.1.1|m.17066,0.00395876697414366
CHOYP_KS6B1.1.1|m.8274,0.0154450536603848
CHOYP_KSR2.1.1|m.9852,0.0199065964696969
CHOYP_LA.1.1|m.65962,-0.000748675435874513
CHOYP_LACB2.1.1|m.31957,0.0194838140103485
CHOYP_LAMC1.1.1|m.36098,8.71374692793624e-05
CHOYP_LAR.1.2|m.30133,0.0106019451947325
CHOYP_LARP7.1.1|m.35019,0.00769681783082227
CHOYP_LC7L3.1.1|m.20705,0.0238769200929285
CHOYP_LEG4.1.1|m.22079,-0.0211782510591227
CHOYP_LEMD3.1.1|m.56975,-0.00953826302559445
CHOYP_AQR.1.1|m.9127,0.00989092959560812
CHOYP_LEO1.1.1|m.41626,-0.00306862439327125
CHOYP_LGR4.1.2|m.27343,0.000269525953042043
CHOYP_LIAS.1.1|m.21693,0.000470809560196022
CHOYP_LIG4.1.1|m.6295,0.00532522569027079
CHOYP_LIGO2.1.2|m.3525,0.001178371157459
CHOYP_LIN9.1.1|m.12005,0.00747754009424984
CHOYP_LIS1.1.1|m.56212,0.0294628157380484
CHOYP_LMBL3.1.1|m.14251,0.00947781181075707
CHOYP_LMNB2.1.1|m.55999,0.00292700926134691
CHOYP_LMO7.1.1|m.27803,0.000651842841751416
CHOYP_ARALYDRAFT_472154.1.1|m.29819,0.0285388936642763
CHOYP_LNTL-1.1.2|m.10782,0.0229112426816236
CHOYP_LOAG_05718.1.1|m.48540,-0.00705282642223918
CHOYP_LOC100005182.1.1|m.53007,0.0115608101669979
CHOYP_LOC100008030.1.1|m.10817,-0.0015388794840972
CHOYP_LOC100013725.1.2|m.12740,0.0187544191960867
CHOYP_LOC100017224.1.1|m.26828,0.0241676947240738
CHOYP_LOC100024134.1.1|m.61877,0.00665293714269673
CHOYP_LOC100024935.1.1|m.2615,0.00287314949606701
CHOYP_LOC100027252.1.1|m.30045,0.0134453643341685
CHOYP_LOC100068494.1.1|m.8733,-0.004627697884604
CHOYP_ARB_02478.1.1|m.29725,0.014325285296786
CHOYP_LOC100072802.1.1|m.27280,-0.000475171171207659
CHOYP_LOC100080726.1.1|m.59048,0.00228818028160244
CHOYP_LOC100081619.1.1|m.33744,-0.0108242939866379
CHOYP_LOC100081920.1.4|m.1772,0.00674556103939333
CHOYP_LOC100089326.1.1|m.19184,0.010529615156283
CHOYP_LOC100113561.1.1|m.37903,-0.00107361285979425
CHOYP_LOC100113671.1.1|m.18491,0.00699451912565172
CHOYP_LOC100114159.1.1|m.53867,0.0183366644966992
CHOYP_LOC100114171.1.1|m.50280,0.00473695262820535
CHOYP_LOC100114247.1.1|m.30717,0.00211878679447256
CHOYP_ARC1A.1.1|m.56262,0.00170321410642842
CHOYP_LOC100114636.1.1|m.11052,0.000224955038899476
CHOYP_LOC100114736.1.1|m.18266,-0.000357619492847232
CHOYP_LOC100115002.1.1|m.45844,0.0162185732888402
CHOYP_LOC100115298.1.1|m.39207,0.000745513860715854
CHOYP_LOC100115467.1.1|m.51329,0.00084538480209495
