GO,p.value,p.adj
GO:0005509,3.4337742739744e-06,0.000748562791726419
GO:0000050,0.00163559018540937,0.356558660419242
GO:0000774,0.00196222666825399,0.42776541367937
GO:0001525,0.00027753297432443,0.0605021884027257
GO:0005576,8.55295657969793e-14,1.86454453437415e-11
GO:0000272,0.00359300708217652,0.78327554391448
GO:0000400,0.00130879332458626,0.285316944759806
GO:0001533,0.000654718048874822,0.142728534654711
GO:0000302,8.80926592535259e-06,0.00192041997172687
GO:0005737,7.36463919897388e-10,1.60549134537631e-07
GO:0004869,8.80926592535259e-06,0.00192041997172687
GO:0005615,1.64524973066966e-10,3.58664441285985e-08
GO:0003723,0.00129509743374359,0.282331240556103
GO:0004053,0.000654718048874822,0.142728534654711
GO:0002062,0.0026150189196223,0.570074124477661
GO:0030246,2.14452638112524e-09,4.67506751085302e-07
GO:0002376,0.00228870287804521,0.498937227413855
GO:0001527,0.00391868349757702,0.85427300247179
GO:0000331,0.000654718048874822,0.142728534654711
GO:0005829,0.000263328054747803,0.057405515935021
GO:0030414,0.00163559018540937,0.356558660419242
GO:0003729,0.000619909794003468,0.135140335092756
GO:0005152,0.000654718048874822,0.142728534654711
GO:0006525,0.00130879332458626,0.285316944759806
GO:0005783,8.78263750079805e-06,0.00191461497517398
GO:0005178,0.000123366136480617,0.0268938177527746
GO:0002532,0.000981835980773718,0.214040243808671
GO:0001656,0.00196222666825399,0.42776541367937
GO:0007155,0.00172983339961305,0.377103681115646
GO:0061052,0.00196222666825399,0.42776541367937
GO:0032474,0.00163559018540937,0.356558660419242
GO:0005201,9.54716837465446e-06,0.00208128270567467
GO:0006183,0.00294117489773884,0.641176127707066
GO:0004568,0.00326717091706277,0.712243259919685
GO:0006972,0.00228870287804521,0.498937227413855
GO:0006228,0.0026150189196223,0.570074124477661
GO:0010917,0.00130879332458626,0.285316944759806
GO:0005179,0.00228870287804521,0.498937227413855
GO:0006006,6.75619910851765e-07,0.000147285140565685
GO:0062023,3.95188569939177e-07,8.61511082467407e-05
GO:0008266,0.00294117489773884,0.641176127707066
GO:0006241,0.00294117489773884,0.641176127707066
GO:0010940,0.00163559018540937,0.356558660419242
GO:0005604,0.000305830434263023,0.0666710346693389
GO:0006629,8.89600092967682e-05,0.0193932820266955
GO:0061371,0.00163559018540937,0.356558660419242
GO:0046628,0.00294117489773884,0.641176127707066
GO:0048864,0.00130879332458626,0.285316944759806
GO:0020037,0.000177788987656176,0.0387579993090464
GO:0030425,3.33089522716494e-05,0.00726135159521956
GO:0006032,0.00391868349757702,0.85427300247179
GO:0007420,0.000296249465767762,0.0645823835373721
GO:0098724,0.000654718048874822,0.142728534654711
GO:0035794,0.00130879332458626,0.285316944759806
GO:0010466,0.000654718048874822,0.142728534654711
GO:0007568,0.000216723022629572,0.0472456189332467
GO:2000632,0.000654718048874822,0.142728534654711
GO:0008061,0.0045695574967993,0.996163534302247
GO:0008134,0.000593022737596288,0.129278956795991
GO:0018149,0.0026150189196223,0.570074124477661
GO:0010642,4.49058700557209e-06,0.000978947967214717
GO:0006971,0.000654718048874822,0.142728534654711
GO:2000648,0.000981835980773718,0.214040243808671
GO:0030198,2.53095740237355e-06,0.000551748713717433
GO:0070062,0.000319439419771654,0.0696377935102205
GO:0090197,0.000981835980773718,0.214040243808671
GO:0008301,0.00163559018540937,0.356558660419242
GO:0030216,0.00359300708217652,0.78327554391448
GO:0014012,3.36940950669793e-06,0.000734531272460149
GO:0042744,0.00489475528918845,1
GO:0031012,0.0005537682290559,0.120721473934186
GO:0032392,0.000981835980773718,0.214040243808671
GO:0015485,2.72935361761896e-05,0.00594999088640934
GO:0018209,0.000654718048874822,0.142728534654711
GO:0045861,0.00228870287804521,0.498937227413855
GO:0022626,1.24822563910417e-05,0.00272113189324709
GO:0031038,0.000654718048874822,0.142728534654711
GO:0008543,0.00489475528918845,1
GO:0050840,0.00489475528918845,1
GO:0045089,0.0026150189196223,0.570074124477661
GO:0070268,0.00163559018540937,0.356558660419242
GO:0031156,0.00130879332458626,0.285316944759806
GO:0010724,0.000654718048874822,0.142728534654711
GO:0045578,0.000981835980773718,0.214040243808671
GO:0042246,1.45562890709722e-05,0.00317327101747193
GO:0031164,0.000654718048874822,0.142728534654711
GO:0016070,0.00391868349757702,0.85427300247179
GO:0045638,0.0026150189196223,0.570074124477661
GO:0030023,0.00163559018540937,0.356558660419242
GO:0042308,3.36940950669793e-06,0.000734531272460149
GO:0031288,0.00130879332458626,0.285316944759806
GO:0021942,0.00130879332458626,0.285316944759806
GO:0042493,0.000409760169283889,0.0893277169038879
GO:0033298,0.000654718048874822,0.142728534654711
GO:0030520,0.00163559018540937,0.356558660419242
GO:0043025,0.00116330671251856,0.253600863329046
GO:0048471,0.000207684388770989,0.0452751967520757
GO:0070177,0.000654718048874822,0.142728534654711
GO:0034199,0.00196222666825399,0.42776541367937
GO:0048662,1.24822563910417e-05,0.00272113189324709
GO:0035582,0.00196222666825399,0.42776541367937
GO:0048678,4.39569986825381e-05,0.0095826257127933
GO:0050885,0.00489475528918845,1
GO:0035583,0.00294117489773884,0.641176127707066
GO:0051895,7.21072382340453e-06,0.00157193779350219
GO:0060588,2.40777118625252e-06,0.000524894118603049
GO:0071638,3.36940950669793e-06,0.000734531272460149
GO:0043010,0.00489475528918845,1
GO:1900016,4.49058700557209e-06,0.000978947967214717
GO:2000098,2.40777118625252e-06,0.000524894118603049
GO:2000405,2.40777118625252e-06,0.000524894118603049
GO:0045671,0.00228870287804521,0.498937227413855
GO:0048048,0.00294117489773884,0.641176127707066
GO:0048050,0.00196222666825399,0.42776541367937
GO:1990314,0.00294117489773884,0.641176127707066
GO:2001205,0.00196222666825399,0.42776541367937
GO:0019012,0.00163559018540937,0.356558660419242
