GO,p.value
GO:0005737,0.0441802013191641
GO:0004411,0.0277425491962409
GO:0004818,0.0413207302924873
GO:0004655,0.0277425491962409
GO:0003676,0.0405938236093421
GO:0004850,0.0413207302924873
GO:0005200,0.015087759977196
GO:0009102,0.0277425491962409
GO:0000147,0.0277425491962409
GO:0004827,0.0413207302924873
GO:0004105,0.0277425491962409
GO:0005137,0.0277425491962409
GO:0004126,0.0413207302924873
GO:0005525,0.0188136477514892
GO:0010340,0.0277425491962409
GO:0002625,0.0277425491962409
GO:0047800,0.0277425491962409
GO:0006520,0.0118396142746407
GO:0008289,0.0444340502245619
GO:0033735,0.0277425491962409
GO:0106034,0.0277425491962409
GO:0016236,0.0346210889096945
GO:0032182,0.0413207302924873
GO:0110095,0.0277425491962409
GO:0071007,0.0409405819095397
GO:0016423,0.0413207302924873
GO:0102130,0.0277425491962409
GO:0035695,0.0413207302924873
GO:0006551,0.0277425491962409
GO:0017022,0.0377299853734716
GO:0007017,0.00244459629857786
GO:0032509,0.00521668764250514
GO:0045292,0.0346210889096945
GO:0006218,0.0277425491962409
GO:0051289,0.0334408590038029
GO:0047315,0.0413207302924873
GO:0006424,0.0413207302924873
GO:0007563,0.0277425491962409
GO:0080048,0.0277425491962409
GO:0048025,0.0207310070644597
GO:0008655,0.0277425491962409
GO:0071394,0.0413207302924873
GO:0035523,0.0413207302924873
GO:0047804,0.0413207302924873
GO:0006433,0.0413207302924873
GO:0009972,0.0413207302924873
GO:2000825,0.0413207302924873
GO:0016197,0.0120790277687144
GO:0006386,0.0277425491962409
GO:0006968,0.0277425491962409
GO:0010698,0.0413207302924873
GO:0005895,0.0277425491962409
GO:0019858,0.0277425491962409
GO:0043097,0.00394985095748817
GO:0042779,0.0277425491962409
GO:0034455,0.0413207302924873
GO:0032392,0.0413207302924873
GO:1904265,0.0277425491962409
GO:1990167,0.0277425491962409
GO:1990168,0.0413207302924873
GO:0036257,0.0277425491962409
GO:0045578,0.0413207302924873
GO:1903638,0.0277425491962409
GO:0032356,0.0277425491962409
GO:0045035,0.0413207302924873
GO:1903645,0.0277425491962409
GO:0016020,0.0298126377062682
GO:0071346,0.0377299853734716
GO:0010862,0.0277425491962409
GO:0048132,0.0413207302924873
GO:0097452,0.0413207302924873
GO:0019838,0.0413207302924873
GO:0061819,0.0277425491962409
GO:0070522,0.0277425491962409
GO:1903774,0.0413207302924873
GO:1903518,0.0277425491962409
GO:1904877,0.0277425491962409
GO:1905765,0.0277425491962409
GO:1990414,0.0413207302924873
GO:0032488,0.0413207302924873
GO:0045545,0.0413207302924873
GO:0032707,0.0413207302924873
GO:0099054,0.0413207302924873
GO:0051127,0.0277425491962409
GO:0045428,0.0413207302924873
GO:0051666,0.0277425491962409
GO:0051022,0.0413207302924873
GO:0051668,0.0413207302924873
