,GO:0001658,GO:0005634,GO:0000082,GO:0004180,GO:0001932,GO:0000175,GO:0005201,GO:0005737,GO:0005730,GO:0000408,GO:0005654,GO:0004222,GO:0003073,GO:0002062,GO:0000176,GO:0005576,GO:0003887,GO:0000177,GO:0005604,GO:0005868,GO:0046872,GO:0000178,GO:0005606,GO:0005746,GO:0102008,GO:0000467,GO:0008033,GO:0048232,GO:0072546,GO:0005671,GO:0008137,GO:1902017,GO:0008622,GO:0044183,GO:0007155,GO:0043966,GO:0030990,GO:0099641,GO:0022617,GO:0035721,GO:0035458,GO:0030198,GO:0042246,GO:0035735,GO:0043280,GO:0050793,GO:0031581,GO:0035869,GO:0045039,GO:0034427,GO:0034446,GO:0050840,GO:0034475,GO:0043259,GO:0035327,GO:0043260,GO:0045504,GO:0071300,GO:0072593,GO:0043928,GO:0097190,GO:0045006,GO:0050679,GO:0097191,GO:0045190,GO:2001243,GO:0045830,GO:0071034,GO:0071035,GO:0071038,GO:0071049,GO:0071051
GO:0005654,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.626065619923989,0.386845395581458,1,0,0,0,0.626065619923989,0.29264024316674,0,0.386845395581458,0.29264024316674,0.489500151657676,0,0.443439322273923,0.29264024316674,0.489500151657676,0,0,0,0,0.489500151657676,0.626065619923989,0,0,0.626065619923989,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.29264024316674,0.489500151657676,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004222,0,0,0,0.744750075828838,0,0.677910456487111,0.442876624569529,0,0,0,0,1,0,0,0,0,0.583705304072394,0,0,0,0.442876624569529,0,0,0,0.744750075828838,0,0,0,0,0,0.583705304072394,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0003073,0.142931304654656,0,0.142931304654656,0,0.465020848167544,0,0,0,0,0,0,0,1,0.142931304654656,0,0,0,0,0,0,0,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0,0,0.465020848167544,0,0,0.155448379013744,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.155448379013744,0.142931304654656,0.142931304654656,0.465020848167544,0.505744610880712,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0.142931304654656,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0.505744610880712,0.142931304654656,0.465020848167544,0.465020848167544,0.142931304654656,0.465020848167544,0.465020848167544,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656
GO:0002062,0.677910456487111,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,1,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.404063530193486,0,0,0,0.142931304654656,0,0,0.155448379013744,0.252131239847978,0,0.465020848167544,0.465020848167544,0.465020848167544,0.252131239847978,0.505744610880712,0.677910456487111,0.465020848167544,0.142931304654656,0.155448379013744,0.465020848167544,0,0.465020848167544,0.252131239847978,0.838955228243556,0,0.252131239847978,0,0,0,0,0.252131239847978,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.465020848167544,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.142931304654656,0.252131239847978
GO:0000176,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.626065619923989,0.404063530193486,0.626065619923989,0,0,0,1,0.29264024316674,0,0.744750075828838,0.29264024316674,0.583705304072394,0,0.853704018869346,0.404063530193486,0.489500151657676,0,0,0,0,0.489500151657676,0.626065619923989,0,0,0.626065619923989,0,0,0,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.404063530193486,0.489500151657676,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005576,0,0.29264024316674,0,0,0,0,0,0.29264024316674,0.29264024316674,0.29264024316674,0.29264024316674,0,0,0,0.29264024316674,1,0,0.29264024316674,0.29264024316674,0.29264024316674,0,0.335452334659132,0.29264024316674,0.29264024316674,0,0,0,0,0.29264024316674,0.29264024316674,0,0,0.29264024316674,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.29264024316674,0,0,0,0,0,0.29264024316674,0.29264024316674,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0003887,0,0,0,0.583705304072394,0,0.583705304072394,0.442876624569529,0,0,0,0,0.583705304072394,0,0,0,0,1,0,0,0,0.442876624569529,0,0,0,0.583705304072394,0,0,0,0,0,0.583705304072394,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000177,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.386845395581458,0.404063530193486,0.386845395581458,0,0,0,0.744750075828838,0.29264024316674,0,1,0.29264024316674,0.583705304072394,0,0.853704018869346,0.404063530193486,0.744750075828838,0,0,0,0,0.744750075828838,0.583705304072394,0,0,0.583705304072394,0,0,0,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0.370815695752827,0,0,0,0,0,0.404063530193486,0.404063530193486,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005604,0,0.29264024316674,0,0,0,0,0,0.29264024316674,0.29264024316674,0.29264024316674,0.29264024316674,0,0,0,0.29264024316674,0.29264024316674,0,0.29264024316674,1,0.29264024316674,0,0.335452334659132,0.677910456487111,0.29264024316674,0,0,0,0,0.29264024316674,0.29264024316674,0,0,0.29264024316674,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.29264024316674,0,0,0,0,0,0.677910456487111,0.29264024316674,0.677910456487111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005868,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.489500151657676,0.516865684730667,0.489500151657676,0,0,0,0.583705304072394,0.29264024316674,0,0.583705304072394,0.29264024316674,1,0,0.669099044222831,0.516865684730667,0.489500151657676,0,0,0,0,0.516865684730667,0.583705304072394,0,0,0.583705304072394,0,0,0,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.516865684730667,0.489500151657676,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0046872,0,0,0,0.442876624569529,0,0.442876624569529,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,1,0,0,0,0.442876624569529,0,0,0,0,0,0.442876624569529,0,0,0.677910456487111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677910456487111,0,0,0,0,0.677910456487111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000178,0,0.443439322273923,0,0,0,0,0,0.443439322273923,0.443439322273923,0.463176400782258,0.443439322273923,0,0,0,0.853704018869346,0.335452334659132,0,0.853704018869346,0.335452334659132,0.669099044222831,0,1,0.463176400782258,0.443439322273923,0,0,0,0,0.463176400782258,0.669099044222831,0,0,0.669099044222831,0,0,0,0.463176400782258,0,0,0,0,0,0,0,0,0,0,0.425064541781633,0,0,0,0,0,0.463176400782258,0.463176400782258,0.463176400782258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005606,0,0.29264024316674,0,0,0,0,0,0.29264024316674,0.29264024316674,0.516865684730667,0.29264024316674,0,0,0,0.404063530193486,0.29264024316674,0,0.404063530193486,0.677910456487111,0.516865684730667,0,0.463176400782258,1,0.29264024316674,0,0,0,0,0.516865684730667,0.516865684730667,0,0,0.404063530193486,0,0,0,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0.29264024316674,0,0,0,0,0,0.744750075828838,0.404063530193486,0.744750075828838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005746,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.489500151657676,0.386845395581458,0.489500151657676,0,0,0,0.489500151657676,0.29264024316674,0,0.744750075828838,0.29264024316674,0.489500151657676,0,0.443439322273923,0.29264024316674,1,0,0,0,0,0.838955228243556,0.489500151657676,0,0,0.489500151657676,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.29264024316674,0.489500151657676,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0102008,0,0,0,0.838955228243556,0,0.677910456487111,0.442876624569529,0,0,0,0,0.744750075828838,0,0,0,0,0.583705304072394,0,0,0,0.442876624569529,0,0,0,1,0,0,0,0,0,0.583705304072394,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000467,0.142931304654656,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.252131239847978,0,0,0,0,0,0,0,0,0,0,0,1,0.677910456487111,0.142931304654656,0,0,0,0.142931304654656,0,0,0.155448379013744,0.422660532315949,0,0.252131239847978,0.252131239847978,0.252131239847978,0.252131239847978,0.274211395661651,0.142931304654656,0.252131239847978,0.142931304654656,0.155448379013744,0.252131239847978,0,0.252131239847978,0.489500151657676,0.252131239847978,0,0.744750075828838,0,0,0,0,0.252131239847978,0.404063530193486,0.489500151657676,0.155448379013744,0.442876624569529,0.142931304654656,0.142931304654656,0.442876624569529,0.142931304654656,0.142931304654656,0.547890167337902,0.838955228243556,0.547890167337902,0.142931304654656,0.744750075828838
GO:0008033,0.142931304654656,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.252131239847978,0,0,0,0,0,0,0,0,0,0,0,0.677910456487111,1,0.142931304654656,0,0,0,0.142931304654656,0,0,0.155448379013744,0.422660532315949,0,0.252131239847978,0.252131239847978,0.252131239847978,0.252131239847978,0.274211395661651,0.142931304654656,0.252131239847978,0.142931304654656,0.155448379013744,0.252131239847978,0,0.252131239847978,0.489500151657676,0.252131239847978,0,0.677910456487111,0,0,0,0,0.252131239847978,0.404063530193486,0.489500151657676,0.155448379013744,0.442876624569529,0.142931304654656,0.142931304654656,0.442876624569529,0.142931304654656,0.142931304654656,0.547890167337902,0.547890167337902,0.838955228243556,0.142931304654656,0.677910456487111
GO:0048232,0.404063530193486,0,0.142931304654656,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0,0.142931304654656,0.142931304654656,1,0,0,0,0.142931304654656,0,0,0.155448379013744,0.142931304654656,0,0.404063530193486,0.404063530193486,0.404063530193486,0.142931304654656,0.439449013208897,0.404063530193486,0.404063530193486,0.142931304654656,0.155448379013744,0.404063530193486,0,0.404063530193486,0.142931304654656,0.404063530193486,0,0.142931304654656,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0.155448379013744,0.142931304654656,0.142931304654656,0.142931304654656,0.404063530193486,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656
GO:0072546,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.489500151657676,0.516865684730667,0.489500151657676,0,0,0,0.489500151657676,0.29264024316674,0,0.744750075828838,0.29264024316674,0.516865684730667,0,0.463176400782258,0.516865684730667,0.838955228243556,0,0,0,0,1,0.516865684730667,0,0,0.489500151657676,0,0,0,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.516865684730667,0.489500151657676,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005671,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.626065619923989,0.516865684730667,0.626065619923989,0,0,0,0.626065619923989,0.29264024316674,0,0.583705304072394,0.29264024316674,0.583705304072394,0,0.669099044222831,0.516865684730667,0.489500151657676,0,0,0,0,0.516865684730667,1,0,0,0.838955228243556,0,0,0,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.516865684730667,0.489500151657676,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0008137,0,0,0,0.583705304072394,0,0.583705304072394,0.442876624569529,0,0,0,0,0.583705304072394,0,0,0,0,0.583705304072394,0,0,0,0.442876624569529,0,0,0,0.583705304072394,0,0,0,0,0,1,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:1902017,0.142931304654656,0,0.142931304654656,0,0.516865684730667,0,0,0,0,0,0,0,0.465020848167544,0.142931304654656,0,0,0,0,0,0,0,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0,0,1,0,0,0.155448379013744,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.155448379013744,0.142931304654656,0.142931304654656,0.516865684730667,0.532367666313674,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0.142931304654656,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0.56212971016629,0.142931304654656,0.516865684730667,0.516865684730667,0.142931304654656,0.516865684730667,0.516865684730667,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656
GO:0008622,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.626065619923989,0.404063530193486,0.626065619923989,0,0,0,0.626065619923989,0.29264024316674,0,0.583705304072394,0.29264024316674,0.583705304072394,0,0.669099044222831,0.404063530193486,0.489500151657676,0,0,0,0,0.489500151657676,0.838955228243556,0,0,1,0,0,0,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.404063530193486,0.838955228243556,0.404063530193486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0044183,0,0,0,0.442876624569529,0,0.442876624569529,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0.677910456487111,0,0,0,0.442876624569529,0,0,0,0,0,0.442876624569529,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677910456487111,0,0,0,0,0.838955228243556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0007155,0.155448379013744,0,0.155448379013744,0,0.155448379013744,0,0,0,0,0,0,0,0.155448379013744,0.155448379013744,0,0,0,0,0,0,0,0,0,0,0,0.155448379013744,0.155448379013744,0.155448379013744,0,0,0,0.155448379013744,0,0,1,0.155448379013744,0,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.170368214945031,0.155448379013744,0.155448379013744,0.155448379013744,0.170368214945031,0.155448379013744,0,0.155448379013744,0.155448379013744,0.912425942033258,0,0.155448379013744,0,0,0,0,0.155448379013744,0.155448379013744,0.155448379013744,0.170368214945031,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744,0.155448379013744
GO:0043966,0.142931304654656,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.252131239847978,0,0,0,0,0,0,0,0,0,0,0,0.422660532315949,0.422660532315949,0.142931304654656,0,0,0,0.142931304654656,0,0,0.155448379013744,1,0,0.252131239847978,0.583705304072394,0.252131239847978,0.252131239847978,0.634822746206724,0.142931304654656,0.252131239847978,0.142931304654656,0.155448379013744,0.583705304072394,0,0.583705304072394,0.422660532315949,0.583705304072394,0,0.422660532315949,0,0,0,0,0.252131239847978,0.404063530193486,0.422660532315949,0.155448379013744,0.838955228243556,0.142931304654656,0.142931304654656,0.422660532315949,0.142931304654656,0.142931304654656,0.422660532315949,0.422660532315949,0.422660532315949,0.142931304654656,0.422660532315949
GO:0030990,0,0.29264024316674,0,0,0,0,0,0.29264024316674,0.29264024316674,0.516865684730667,0.29264024316674,0,0,0,0.404063530193486,0.29264024316674,0,0.404063530193486,0.29264024316674,0.516865684730667,0,0.463176400782258,0.516865684730667,0.29264024316674,0,0,0,0,0.516865684730667,0.516865684730667,0,0,0.404063530193486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.29264024316674,0,0,0,0,0,0.516865684730667,0.404063530193486,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0099641,0.404063530193486,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.465020848167544,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.404063530193486,0,0,0,0.142931304654656,0,0,0.155448379013744,0.252131239847978,0,1,0.465020848167544,0.744750075828838,0.252131239847978,0.505744610880712,0.404063530193486,0.744750075828838,0.142931304654656,0.155448379013744,0.465020848167544,0,0.677910456487111,0.252131239847978,0.465020848167544,0,0.252131239847978,0,0,0,0,0.252131239847978,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.465020848167544,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.626065619923989,0.252131239847978
GO:0022617,0.404063530193486,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.465020848167544,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.404063530193486,0,0,0,0.142931304654656,0,0,0.155448379013744,0.583705304072394,0,0.465020848167544,1,0.465020848167544,0.252131239847978,0.912425942033258,0.404063530193486,0.465020848167544,0.142931304654656,0.155448379013744,0.583705304072394,0,0.583705304072394,0.252131239847978,0.583705304072394,0,0.252131239847978,0,0,0,0,0.252131239847978,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.465020848167544,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.142931304654656,0.252131239847978
GO:0035721,0.404063530193486,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.465020848167544,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.404063530193486,0,0,0,0.142931304654656,0,0,0.155448379013744,0.252131239847978,0,0.744750075828838,0.465020848167544,1,0.252131239847978,0.505744610880712,0.404063530193486,0.838955228243556,0.142931304654656,0.155448379013744,0.465020848167544,0,0.677910456487111,0.252131239847978,0.465020848167544,0,0.252131239847978,0,0,0,0,0.252131239847978,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.465020848167544,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.626065619923989,0.252131239847978
GO:0035458,0.142931304654656,0,0.252131239847978,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.252131239847978,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.142931304654656,0,0,0,0.142931304654656,0,0,0.155448379013744,0.252131239847978,0,0.252131239847978,0.252131239847978,0.252131239847978,1,0.274211395661651,0.142931304654656,0.252131239847978,0.142931304654656,0.155448379013744,0.252131239847978,0,0.252131239847978,0.252131239847978,0.252131239847978,0,0.252131239847978,0,0,0,0,0.838955228243556,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.252131239847978,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.142931304654656,0.252131239847978
GO:0030198,0.439449013208897,0,0.274211395661651,0,0.155448379013744,0,0,0,0,0,0,0,0.155448379013744,0.505744610880712,0,0,0,0,0,0,0,0,0,0,0,0.274211395661651,0.274211395661651,0.439449013208897,0,0,0,0.155448379013744,0,0,0.170368214945031,0.634822746206724,0,0.505744610880712,0.912425942033258,0.505744610880712,0.274211395661651,1,0.439449013208897,0.505744610880712,0.155448379013744,0.170368214945031,0.634822746206724,0,0.634822746206724,0.274211395661651,0.634822746206724,0,0.274211395661651,0,0,0,0,0.274211395661651,0.274211395661651,0.274211395661651,0.170368214945031,0.274211395661651,0.155448379013744,0.155448379013744,0.505744610880712,0.155448379013744,0.155448379013744,0.274211395661651,0.274211395661651,0.274211395661651,0.155448379013744,0.274211395661651
