CHOYP_FLNA.6.6.m.37383	GO:0001725;GO:0003334;GO:0003382;GO:0003779;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0005903;GO:0005925;GO:0005938;GO:0007519;GO:0030018;GO:0030036;GO:0042802;GO:0043005;GO:0043025;GO:0045335;GO:0071346
CHOYP_FLOT1.1.2.m.21435	GO:0005198;GO:0005737;GO:0007275;GO:0016600
CHOYP_FND2.4.4.m.44570	GO:0005576
CHOYP_G6PD.1.2.m.38380	GO:0004345;GO:0005536;GO:0005634;GO:0005829;GO:0006006;GO:0006098;GO:0006695;GO:0006739;GO:0006740;GO:0006749;GO:0009051;GO:0009898;GO:0010041;GO:0010734;GO:0014070;GO:0019322;GO:0030246;GO:0032094;GO:0034599;GO:0042803;GO:0043231;GO:0043249;GO:0043523;GO:0045471;GO:0046390;GO:0050661;GO:0051156;GO:0061052;GO:1904879;GO:2000378
CHOYP_HEM2.1.1.m.6789	GO:0004655;GO:0005829;GO:0006782;GO:0006783;GO:0008270;GO:0042802;GO:0051260;GO:0071353;GO:1901799
CHOYP_ISCW_ISCW001285.2.2.m.15985	GO:0003735;GO:0005840;GO:0006412
CHOYP_ISCW_ISCW006091.2.2.m.61313	GO:0003677;GO:0003755;GO:0005730;GO:0005737;GO:0005819
CHOYP_ISCW_ISCW012957.1.2.m.51659	GO:0001541;GO:0004105;GO:0005737;GO:0005789;GO:0006656;GO:0007283;GO:0031210
CHOYP_LOC100119750.1.1.m.7019	GO:0003676;GO:0006513;GO:0016567;GO:0043022;GO:0046872;GO:0061630;GO:0072344
CHOYP_LOC100184874.1.1.m.41851	GO:0005102;GO:0005576
CHOYP_LOC100199222.1.1.m.17588	
CHOYP_LOC100222774.1.1.m.56990	GO:0004485;GO:0005524;GO:0005739;GO:0005759;GO:0006551;GO:0006552;GO:0007563;GO:1905202
CHOYP_LOC100367014.1.1.m.18505	GO:0000166;GO:0005085;GO:0005737;GO:0006006;GO:0016779;GO:0016787;GO:0080048
