,GO:0005634,GO:0005524,GO:0004063,GO:0004556,GO:0006850,GO:0003735,GO:0004345,GO:0005794,GO:0005576,GO:0001520,GO:0005186,GO:0001103,GO:0005737,GO:0004064,GO:0031305,GO:0005762,GO:0005536,GO:0007165,GO:0001934,GO:0005654,GO:0004181,GO:0016430,GO:0000187,GO:0050833,GO:0004674,GO:0007155,GO:0030488,GO:0006397,GO:0006913,GO:0005666,GO:0005829,GO:0097224,GO:0005925,GO:0006508,GO:0007016,GO:0045944,GO:0004708,GO:0005669,GO:0044613,GO:0006098,GO:0030173,GO:0006520,GO:0004713,GO:0005672,GO:0048471,GO:0006139,GO:0006915,GO:0006695,GO:0032991,GO:0006383,GO:0006739,GO:0035035,GO:0030574,GO:0010875,GO:0006384,GO:0006740,GO:0070208,GO:0098592,GO:0019372,GO:0043231,GO:0072734,GO:2000045,GO:0102009,GO:0019439,GO:0009051,GO:0006468,GO:0017025,GO:0031667,GO:0097194,GO:0042795,GO:0032411,GO:0097200,GO:0010041,GO:0007254,GO:0034364,GO:0010734,GO:0007257,GO:0023014,GO:0034366,GO:0008545,GO:0019322,GO:0009611,GO:0031098,GO:0046395,GO:0032094,GO:0032147,GO:0046434,GO:0034115,GO:0046470,GO:0031116,GO:0031435,GO:0051099,GO:0045415,GO:0043249,GO:0032839,GO:0070542,GO:0043523,GO:0034393,GO:0072562,GO:0050679,GO:0102007,GO:0046390,GO:0033138,GO:0051247,GO:1902617,GO:0033148,GO:0060761,GO:0051156,GO:0045740,GO:0070375,GO:0061052,GO:0043408,GO:0051770,GO:0071363,GO:1904879,GO:0043507,GO:0061049,GO:0071499,GO:2000378,GO:0090051,GO:0048012,GO:0072709,GO:2000342,GO:2000672,GO:2001240,GO:0048754,GO:0050770,GO:0060244,GO:0071437
GO:0005186,0,0.600226733090059,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,1,0.669352537960268,0,0.36496752414993,0,0,0.600226733090059,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.669352537960268,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001103,0,0.600226733090059,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0.669352537960268,1,0,0.36496752414993,0,0,0.600226733090059,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.857597889113025,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005737,0.463385061938896,0,0,0,0,0,0,0.463385061938896,0.364669962111404,0.463385061938896,0,0,1,0,0.463385061938896,0.463385061938896,0,0,0,0.463385061938896,0,0,0,0,0,0,0,0,0,0.463385061938896,0.463385061938896,0.425373174147418,0.364669962111404,0,0,0,0,0.463385061938896,0.463385061938896,0,0.463385061938896,0,0,0.463385061938896,0.463385061938896,0,0,0,0.473583718238172,0,0,0,0,0,0,0,0,0.425373174147418,0,0.52747428417173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394946256538531,0,0,0,0.364669962111404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923340723134128,0,0,0,0.364669962111404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425373174147418
GO:0004064,0,0.36496752414993,0.774297994220609,0.600226733090059,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,1,0,0,0.36496752414993,0,0,0,0.600226733090059,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0.509313211108978,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.36496752414993,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.857597889113025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0031305,0.430391556452101,0,0,0,0,0,0,0.600226733090059,0.338705075920536,0.548595988441218,0,0,0.463385061938896,0,1,0.857597889113025,0,0,0,0.548595988441218,0,0,0,0,0,0,0,0,0,0.548595988441218,0.600226733090059,0.526950427073293,0.338705075920536,0,0,0,0,0.548595988441218,0.548595988441218,0,0.857597889113025,0,0,0.548595988441218,0.600226733090059,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.774297994220609,0,0.485140103696232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
GO:0005762,0.430391556452101,0,0,0,0,0,0,0.600226733090059,0.338705075920536,0.548595988441218,0,0,0.463385061938896,0,0.857597889113025,1,0,0,0,0.548595988441218,0,0,0,0,0,0,0,0,0,0.572793667339076,0.600226733090059,0.526950427073293,0.338705075920536,0,0,0,0,0.572793667339076,0.572793667339076,0,0.600226733090059,0,0,0.572793667339076,0.600226733090059,0,0,0,0.728377382531244,0,0,0,0,0,0,0,0,0.395086155190776,0,0.485140103696232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61670361567064,0,0,0,0.572793667339076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
GO:0005536,0,0.857597889113025,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0.600226733090059,0.600226733090059,0,0.36496752414993,0,0,1,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.600226733090059,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0007165,0,0,0,0,0.116025998270518,0,0,0,0,0,0,0,0,0,0,0,0,1,0.466076762676024,0,0,0,0.395452459218649,0,0,0.116025998270518,0.116025998270518,0.116025998270518,0.116025998270518,0,0,0,0,0.116025998270518,0.29676673343239,0.360944580668736,0,0,0,0.116025998270518,0,0.116025998270518,0,0,0,0.163388662704416,0.116025998270518,0.116025998270518,0,0.116025998270518,0.140556395930854,0,0.116025998270518,0.309681575748103,0.116025998270518,0.116025998270518,0.116025998270518,0,0.116025998270518,0,0.116025998270518,0.360944580668736,0,0.116025998270518,0.116025998270518,0.140556395930854,0,0.127118590517044,0.116025998270518,0.116025998270518,0.309681575748103,0,0.116025998270518,0.77443161636366,0,0.360944580668736,0.360944580668736,0.89873223517752,0,0,0.116025998270518,0.116025998270518,0.8484706616741,0.116025998270518,0.116025998270518,0.418878210684126,0.116025998270518,0.360944580668736,0.116025998270518,0.360944580668736,0,0.29676673343239,0.360944580668736,0.116025998270518,0,0.116025998270518,0.395452459218649,0.360944580668736,0,0.360944580668736,0,0.116025998270518,0.360944580668736,0.410160548853865,0.116025998270518,0.360944580668736,0.309681575748103,0.134648821872737,0.360944580668736,0.77443161636366,0.360944580668736,0.437256047315231,0.309681575748103,0.116025998270518,0.309681575748103,0.395452459218649,0.116025998270518,0.116025998270518,0.360944580668736,0.360944580668736,0.77443161636366,0.116025998270518,0.309681575748103,0.360944580668736,0.360944580668736,0.116025998270518,0.360944580668736,0.360944580668736,0
GO:0001934,0,0,0,0,0.116025998270518,0,0,0,0,0,0,0,0,0,0,0,0,0.466076762676024,1,0,0,0,0.8484706616741,0,0,0.116025998270518,0.116025998270518,0.116025998270518,0.116025998270518,0,0,0,0,0.116025998270518,0.29676673343239,0.701997809037883,0,0,0,0.116025998270518,0,0.116025998270518,0,0,0,0.163388662704416,0.116025998270518,0.116025998270518,0,0.116025998270518,0.140556395930854,0,0.116025998270518,0.512209960821912,0.116025998270518,0.116025998270518,0.116025998270518,0,0.116025998270518,0,0.116025998270518,0.360944580668736,0,0.116025998270518,0.116025998270518,0.140556395930854,0,0.127118590517044,0.116025998270518,0.116025998270518,0.512209960821912,0,0.116025998270518,0.360944580668736,0,0.701997809037883,0.77443161636366,0.418878210684126,0,0,0.116025998270518,0.116025998270518,0.395452459218649,0.116025998270518,0.116025998270518,0.89873223517752,0.116025998270518,0.360944580668736,0.116025998270518,0.599908091497507,0,0.29676673343239,0.645813783164695,0.116025998270518,0,0.116025998270518,0.395452459218649,0.599908091497507,0,0.599908091497507,0,0.116025998270518,0.77443161636366,0.974297079023273,0.116025998270518,0.599908091497507,0.309681575748103,0.134648821872737,0.701997809037883,0.360944580668736,0.360944580668736,0.891144604659057,0.645813783164695,0.116025998270518,0.512209960821912,0.8484706616741,0.116025998270518,0.116025998270518,0.599908091497507,0.360944580668736,0.360944580668736,0.116025998270518,0.309681575748103,0.360944580668736,0.360944580668736,0.116025998270518,0.360944580668736,0.360944580668736,0
GO:0005654,0.430391556452101,0,0,0,0,0,0,0.430391556452101,0.338705075920536,0.548595988441218,0,0,0.463385061938896,0,0.548595988441218,0.548595988441218,0,0,0,1,0,0,0,0,0,0,0,0,0,0.669352537960268,0.430391556452101,0.526950427073293,0.338705075920536,0,0,0,0,0.669352537960268,0.669352537960268,0,0.548595988441218,0,0,0.669352537960268,0.430391556452101,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.395086155190776,0,0.485140103696232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430391556452101,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
GO:0004181,0,0.36496752414993,0.600226733090059,0.600226733090059,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,0.600226733090059,0,0,0.36496752414993,0,0,0,1,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0.509313211108978,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.857597889113025,0,0,0,0.36496752414993,0,0,0,0,0.774297994220609,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016430,0,0.36496752414993,0.473049572926707,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,0.473049572926707,0,0,0.36496752414993,0,0,0,0.473049572926707,1,0,0.36496752414993,0.669352537960268,0,0,0,0,0,0,0,0,0,0,0,0.720664619488638,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0.36496752414993,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0.669352537960268,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000187,0,0,0,0,0.101928598243478,0,0,0,0,0,0,0,0,0,0,0,0,0.395452459218649,0.8484706616741,0,0,0,1,0,0,0.101928598243478,0.101928598243478,0.101928598243478,0.101928598243478,0,0,0,0,0.101928598243478,0.260708958293406,0.61670361567064,0,0,0,0.101928598243478,0,0.101928598243478,0,0,0,0.136753876136927,0.101928598243478,0.101928598243478,0,0.101928598243478,0.120386006676688,0,0.101928598243478,0.449975385613125,0.101928598243478,0.101928598243478,0.101928598243478,0,0.101928598243478,0,0.101928598243478,0.317089063654214,0,0.101928598243478,0.101928598243478,0.120386006676688,0,0.110391100153688,0.101928598243478,0.101928598243478,0.680336564804512,0,0.101928598243478,0.317089063654214,0,0.61670361567064,0.923340723134128,0.360944580668736,0,0,0.101928598243478,0.101928598243478,0.343415009984513,0.101928598243478,0.101928598243478,0.948955141229812,0.101928598243478,0.317089063654214,0.101928598243478,0.527018011072768,0,0.680336564804512,0.567346065756894,0.101928598243478,0,0.101928598243478,0.343415009984513,0.527018011072768,0,0.527018011072768,0,0.101928598243478,0.680336564804512,0.823455337423219,0.101928598243478,0.770022169402384,0.61670361567064,0.116025998270519,0.61670361567064,0.317089063654214,0.61670361567064,0.909459127510415,0.567346065756894,0.101928598243478,0.449975385613125,0.902868353630663,0.101928598243478,0.101928598243478,0.527018011072768,0.317089063654214,0.317089063654214,0.101928598243478,0.272054620415674,0.317089063654214,0.680336564804512,0.101928598243478,0.317089063654214,0.317089063654214,0
GO:0050833,0,0.36496752414993,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0,0,0.36496752414993,0,0,0,0.36496752414993,0.36496752414993,0,1,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.36496752414993,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004674,0,0.36496752414993,0.473049572926707,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,0.473049572926707,0,0,0.36496752414993,0,0,0,0.473049572926707,0.669352537960268,0,0.36496752414993,1,0,0,0,0,0,0,0,0,0,0,0,0.770022169402384,0,0,0,0,0,0.715195778226051,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0.36496752414993,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0.715195778226051,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
